Mandal,Village
Shrirampur,Belapur Bk.
Nevasa,Gidegaon
Akola,Vashere
Rahta,Hanmantgaon
Nevasa,Dedgaon
Akola,Lingdev
Rahuri,Baragaon Nandur
Rahta,Pimplas
Nagar,Walunj
Nagar,Walunj
Kopargaon,Shirasgaon
Kopargaon,Shirasgaon
Kopargaon,Shirasgaon
Kopargaon,Shirasgaon
Nevasa,Punatgaon
Nevasa,Belpimpalgaon
Shevgaon,Awhane Bk.
Sangamner,Kauthe Bk.
Shevgaon,Dadegaon
Shrigonda,Erandoli
Shevgaon,Sonvihir
Shrigonda,Belwandi Bk.
Nevasa,Sonai
Shrigonda,Shrigonda
Rahta,Kolhar Bk.
Jamkhed,Shiur
Karjat,Chapadgaon
Karjat,Chapadgaon
Nevasa,Bhende Bk.
Akola,Waghapur
Akola,Waghapur
Shrigonda,Pimpalgaon Pisa
Sangamner,Nandur Khandarmal
Shevgaon,Bhavinimgaon
Rahuri,Kendal Bk.
Shevgaon,Deotakli
Sangamner,Sangamner Kh.
Nevasa,Karajgaon
Nevasa,Karajgaon
Nevasa,Pachegaon
Akola,Kumbhefal
Akola,Kumbhefal
Akola,Kotul
Shevgaon,Kambi
Shrirampur,Wadala Mahadeo
Sangamner,Pemgiri
Akola,Samsherpur
Parner,Ralegaon Tharepal
Karjat,Nandgaon
Karjat,Nandgaon
Akola,Bahirwadi
Akola,Bahirwadi
Akola,Bahirwadi
Shevgaon,Erandgaon
Nevasa,Bhanashiware
Jamkhed,Malewadi
Jamkhed,Malewadi
Jamkhed,Malewadi
Jamkhed,Malewadi
Nevasa,Georai
Nevasa,Chinchban
Karjat,Malthan
Nevasa,Ramdoh
Karjat,Waysewadi
Sangamner,Jorve
Shevgaon,Balam  Takali
Shrirampur,Undirgaon
Shrigonda,Loni Vyanknath
Kopargaon,Ukkadgaon
Kopargaon,Ukkadgaon
Kopargaon,Ukkadgaon
Jamkhed,Sangvi
Jamkhed,Sangvi
Akola,Dhamangaon Pat
Akola,Chas
Akola,Chas
Akola,Chas
Karjat,Bhambore
Sangamner,Dhandarphal Kh
Nevasa,Khupti
Jamkhed,Ghodegaon
Jamkhed,Ghodegaon
Jamkhed,Ghodegaon
Shrigonda,Ruikhed
