Mandal,Village
Patur,Sasti
Barshitakli,Mahan
Patur,Channi
Telhara,Karla Bk.
Akola,Takli Pote
Akot,Mahagaon
Akot,Mahagaon
Akot,Mahagaon
Balapur,Gaigaon
Patur,Adgaon Kh.
Akola,Wadad Bk
Murtijapur,Jamthi Bk.
Akot,Khaparwadi Bk.
Akot,Akolkhed
Balapur,Khandala
Balapur,Khandala
Balapur,Khandala
Telhara,Chitalwadi
Murtijapur,Sonori (Bopari)
Barshitakli,Rustamabad
Telhara,Hingani Bk.
Akola,Patur Nandapur
Akot,Deulgaon
Akot,Deulgaon
Akot,Deulgaon
Balapur,Wadegaon
Akot,Nakhegaon
Telhara,Sirsoli
Murtijapur,Balapur
Akot,Alegaon
Akot,Alegaon
Akot,Adgaon Kh
Akot,Panaj
Murtijapur,Parad
Akola,Sukali
Akola,Sukali
Akola,Kaulkhed
Murtijapur,Karli
Balapur,Andura
Patur,Chondhi
Akot,Januna
Akot,Januna
Akot,Januna
Akot,Nandkhed
Akot,Nandkhed
Akot,Nandkhed
Patur,Pimpardoli
Patur,Digras Bk.
Telhara,Wadi Adampur
Akot,Tajnapur
Akot,Edlapur
Akot,Warur
Akola,Goregaon Bk
Akot,Lohari Kh.
Balapur,Batwadi Bk.
Akot,Akoli Jahangir
Barshitakli,Dagadparwa
Telhara,Saundala
Telhara,Hiwarkhed
Balapur,Vyalla
Akola,Ugwa
Patur,Babhulgaon
Patur,Babhulgaon
Telhara,Danapur
Akot,Wadgaon Mendhe
Balapur,Kasura
Akot,Wadali Deshmukh
Balapur,Degaon
Akot,Belura
Barshitakli,Para Bhawani
Akola,Chandur
Telhara,Gadegaon
Akola,Masa
Akot,Pimpri Kh.
Akot,Umara
Akot,Umara
Telhara,Warud Bk.
Akot,Akot
Barshitakli,Pimpalgaon Chambhare
Patur,Pimpal Khuta
Telhara,Sadarpur
Akot,Lamkani
Patur,Raher
Akola,Kanshiwani
Akola,Sukoda
