Mandal,Village
Anjangaon Surji,Wanoja
Chandur Railway,Sawanga Vithoba
Anjangaon Surji,Chincholi Bk.
Anjangaon Surji,Chincholi Bk.
Warud,Tembhurkheda
Dhamangaon Railway,Tiwra
Warud,Sawanga
Achalpur,Pathrot
Achalpur,Rasegaon
Amravati,Bhankheda Kh.
Dhamangaon Railway,Chincholi
Dhamangaon Railway,Chincholi
Teosa,Nimbhora Delwadi
Dhamangaon Railway,Nimboli
Chandur Railway,Jalka Jagtap
Amravati,Yawali
Amravati,Yawali
Achalpur,Chausala
Achalpur,Chausala
Chandur Railway,Ghuikhed
Chandur Railway,Ghuikhed
Teosa,Kurha
Chandurbazar,Talvel
Chandurbazar,Haidatpur
Anjangaon Surji,Bhandaraj
Morshi,Porgavhan
Morshi,Porgavhan
Achalpur,Wasani   Kh.
Dhamangaon Railway,Naygaon
Dhamangaon Railway,Naygaon
Morshi,Warha
Morshi,Warha
Daryapur,Daryapur
Daryapur,Daryapur
Nandgaon-Khandeshwar,Pimpri Nipani
Chandurbazar,Pimpri Thugaon
Bhatkuli,Kamnapur
Bhatkuli,Kamnapur
Warud,Zolamba
Bhatkuli,Kumagad
Nandgaon-Khandeshwar,Pimpri Pochchha
Morshi,Shirajgaon
Chandurbazar,Wani
Chandurbazar,Wani
Chandurbazar,Borgaon Mohna
Chandurbazar,Shirajgaon  Kasba
Dhamangaon Railway,Dhakulgaon
Warud,Rajura Bajar
Achalpur,Pimpalkhuta
Achalpur,Pimpalkhuta
Achalpur,Pimpalkhuta
Achalpur,Pimpalkhuta
Achalpur,Pimpalkhuta
Warud,Shingori
Anjangaon Surji,Borala
Anjangaon Surji,Borala
Anjangaon Surji,Borala
Anjangaon Surji,Borala
Warud,Linga
Chandurbazar,Belaj
Morshi,Chincholi Gavali
Chandur Railway,Kawtha Kadu
Chandurbazar,Jalnapur
Achalpur,Isegaon
Amravati,Karajgaon
Amravati,Karajgaon
Amravati,Karajgaon
Amravati,Karajgaon
Warud,Jarud
Nandgaon-Khandeshwar,Yenas
Teosa,Jahangirpur
Chandurbazar,Akhatwada
Chandurbazar,Akhatwada
Chandurbazar,Akhatwada
Chandurbazar,Surali
Warud,Dawargaon
Bhatkuli,Kholapur
Anjangaon Surji,Sategaon
Morshi,Vishnora
Morshi,Vishnora
Chandur Railway,Warud
Chandur Railway,Warud
Amravati,Walgaon
Nandgaon-Khandeshwar,Pusner
Nandgaon-Khandeshwar,Pimpalgaon (Bainai)
Chandur Railway,Titwa
Teosa,Marda
