Mandal,Village
Kannad,Andhaner
Gangapur,Zodegaon
Kannad,Wadner Tanda
Aurangabad,Wahegaon
Aurangabad,Wahegaon
Aurangabad,Wahegaon
Aurangabad,Wahegaon
Aurangabad,Satana
Aurangabad,Satana
Kannad,Karanjkheda Jahagir
Paithan,Chinchala
Paithan,Chanakwadi
Kannad,Amba
Aurangabad,Jalgaon Feran
Gangapur,Khadak Waghalgaon
Aurangabad,Naigavhan
Aurangabad,Naigavhan
Aurangabad,Naigavhan
Aurangabad,Naigavhan
Phulambri,Padali
Kannad,Pangra
Kannad,Pangra
Sillod,Shindephal
Vaijapur,Chenduphal
Soegaon,Hanumantkheda
Kannad,Bahirgaon
Kannad,Mohadi
Vaijapur,Chorwaghalgaon
Paithan,Lohagaon Bk.
Gangapur,Hanumantgaon
Gangapur,Hanumantgaon
Gangapur,Hanumantgaon
Paithan,Nilajgaon
Sillod,Borgaon Sarwani
Kannad,Pishor
Aurangabad,Nagonyachiwadi
Soegaon,Malegaon
Paithan,Khamjalgaon
Paithan,Chauryahattar Jalgaon
Khuldabad,Akhatwada
Khuldabad,Akhatwada
Kannad,Nagad
Paithan,Warudi Bk.
Gangapur,Siddhapur
Vaijapur,Mahalgaon
Aurangabad,Tuljapur
Khuldabad,Gandheshwar
Paithan,Harshi Kh.
Vaijapur,Kapus Wadgaon
Gangapur,Akoli Wadgaon
Kannad,Ghatshendra
Sillod,Chandapur
Vaijapur,Sawkhed Ganga
Paithan,Nanegaon
Paithan,Nanegaon
Khuldabad,Takali
Vaijapur,Chinchadgaon
Kannad,Waki Jadid
Gangapur,Aurangpur
Gangapur,Aurangpur
Gangapur,Aurangpur
Gangapur,Aurangpur
Gangapur,Borgaon
Gangapur,Borgaon
Sillod,Madni
Paithan,Wadwali
Khuldabad,Bodkha
Kannad,Digaon
Kannad,Gaurpimpri
Soegaon,Wadgaon (Tigji)
Paithan,Lohagaon Kh.
Kannad,Kannad
Soegaon,Jamthi
Gangapur,Shivrai
Gangapur,Shivrai
Gangapur,Shivrai
Kannad,Hasta
Kannad,Nagad Tanda
Khuldabad,Palaswadi
Kannad,Bhopewadi
Vaijapur,Panvi Bk.
Kannad,Umberkheda Tanda
Sillod,Ambhai
Gangapur,Bhendala
Kannad,Hatnoor
Paithan,Changatpuri
Kannad,Karanjkheda Khalsa
Aurangabad,Mahalpimpri
Kannad,Adgaon Jehur
Sillod,Pendgaon (Amthana)
Gangapur,Nagapur
Gangapur,Nagapur
Gangapur,Nagapur
Kannad,Newpur Jahangir
Paithan,Ghari
Vaijapur,Bhatana
Paithan,Adool Bk.
Kannad,Hiwarkheda (Gautala)
Paithan,Amrapur
Aurangabad,Mangrul
Aurangabad,Mangrul
Phulambri,Nimkheda
Soegaon,Warthan
Vaijapur,Janephal
Kannad,Wakad
Kannad,Wakad
Aurangabad,Naigaon
Aurangabad,Naigaon
Aurangabad,Naigaon
Aurangabad,Naigaon
Kannad,Lohagaon
Soegaon,Kinhi
Soegaon,Amkheda
Paithan,Gharegaon
Kannad,Ambala
Sillod,Bahuli
Kannad,Jehur
Vaijapur,Mhaski
Paithan,Anandpur
Gangapur,Guru Dhanora
Gangapur,Kankori
Kannad,Talner
Sillod,Sasurwada
Vaijapur,Wanjargaon
Kannad,Mundwadi
Sillod,Charner
Soegaon,Soegaon
Kannad,Sawargaon
Khuldabad,Tisgaon Tanda
Sillod,Kelgaon
Kannad,Satkund Tanda
Gangapur,Agar Kanadgaon
Paithan,Narayangaon
Aurangabad,Palshi
Aurangabad,Palshi
Sillod,Sirsala Tanda
Kannad,Newpur Khalsa
Gangapur,Borodi
Sillod,Dharla
Aurangabad,Daregaon
Aurangabad,Daregaon
Aurangabad,Daregaon
Aurangabad,Daregaon
Kannad,Chinchkheda Kh.
Gangapur,Ghodegaon
Gangapur,Ghodegaon
Sillod,Bojgaon
Kannad,Jawakheda Bk.
Gangapur,Nevargaon
Gangapur,Dighi
Kannad,Nimbhora
Kannad,Nimbhora
Sillod,Amthana
Aurangabad,Ladgaon
Aurangabad,Ladgaon
Paithan,Katpur
Paithan,Navgaon
Sillod,Andhari
