Mandal,Village
Pauni,Mokhara
Mohadi,Kandri
Bhandara,Silli
Bhandara,Silli
Lakhandur,Murmadi
Lakhandur,Murmadi
Lakhandur,Murmadi
Mohadi,Neri
Bhandara,Rajegaon
Bhandara,Rajegaon
Lakhandur,Soni
Sakoli,Malutola
Mohadi,Roha
Pauni,Yenoda
Tumsar,Dhamlewada
Tumsar,Chandpur
Lakhandur,Rajani
Tumsar,Khandal
Sakoli,Bamhani
Lakhani,Samewada
Mohadi,Betala
Pauni,Virali (Khandar)
Bhandara,Garada Jangli
Pauni,Bhendara
Bhandara,Kharbi
Tumsar,Hirapur Hamesha
Lakhani,Morgaon
Lakhani,Morgaon
Lakhani,Gadegaon
