Mandal,Village
Lonar,Maharchikna
Chikhli,Kavhala
Jalgaon (Jamod),Madakhed Bk.
Nandura,Shemba Bk.
Khamgaon,Palshi Bk
Mehkar,Ukali
Sangrampur,Tunki Bk.
Chikhli,Takarkhed Helga
Chikhli,Karatwadi
Mehkar,Ghatbori
Motala,Jaipur
Khamgaon,Pimpalgaon Raja
Lonar,Pimpalkhuta
Lonar,Pimpalkhuta
Sangrampur,Bawanbir
Lonar,Sawargaon Mundhe
Jalgaon (Jamod),Asalgaon
Motala,Dhamangaon Deshmukh
Nandura,Hingana Gavhad
Nandura,Khumgaon
Sangrampur,Palshi Zasi
Chikhli,Ancharwadi
Chikhli,Bhalgaon
Mehkar,Aregaon
Buldana,Dahid Kh.
Buldana,Kesapur
Sindkhed Raja,Kumbefal
Sangrampur,Sagoda
Sangrampur,Sagoda
Mehkar,Shelgaon  Deshmukh
Motala,Fardapur
Motala,Dhamangaon Badhe
Lonar,Weni
Nandura,Mominabad
Nandura,Mominabad
Nandura,Takli (Watpal)
Mehkar,Bhosa
Mehkar,Bhosa
Nandura,Palsoda
Nandura,Palsoda
Sangrampur,Sangrampur
Deolgaon Raja,Saokhed Bhoi
Khamgaon,Shahapur
Khamgaon,Shahapur
Khamgaon,Shahapur
Mehkar,Rajgad
Khamgaon,Gharod
Chikhli,Jambhora
Chikhli,Jambhora
Chikhli,Jambhora
Mehkar,Pimpri Mali
Chikhli,Haralkhed
Chikhli,Palaskhed  Daulat
Nandura,Shemba Kh.
Lonar,Shara
Chikhli,Khor
Motala,Gotmara
Shegaon,Jawala Bk.
Jalgaon (Jamod),Chalthana Siyam
Lonar,Karegaon
Lonar,Bhumrala
Mehkar,Kalambeshwar
Buldana,Chandol
Lonar,Hirdav
Mehkar,Wadali
Mehkar,Wadali
Mehkar,Wadali
Deolgaon Raja,Mandapgaon
Shegaon,Chincholi Karfarma
Sindkhed Raja,Kingaon Raja
Jalgaon (Jamod),Pimpalgaon Kale
Buldana,Warwand
Buldana,Warwand
Buldana,Warud
Buldana,Warud
Buldana,Warud
Buldana,Warud
Chikhli,Bhorse
Sangrampur,Kakanwada Bk.
Jalgaon (Jamod),Gadagaon  Kh.
Mehkar,Deulgaon Sakarasha
Khamgaon,Dastapur
Chikhli,Peth
