--SELECT--,--SELECT--
--SELECT--,Ballarpur
Amdi,Ballarpur
Asegaon,Ballarpur
Ashti,Ballarpur
Bamhani,Ballarpur
Bhivkund,Ballarpur
Charwat,Ballarpur
Daheli,Ballarpur
Dharmashala Tukum,Ballarpur
Dudholi,Ballarpur
Gilbili,Ballarpur
Hadasti,Ballarpur
Haran Payali,Ballarpur
Itoli Chak No.1,Ballarpur
Itoli Chak No.2.,Ballarpur
Jogapur,Ballarpur
Kalamna,Ballarpur
Katwali,Ballarpur
Kawadjai,Ballarpur
Kem Rith,Ballarpur
Kem Tukum,Ballarpur
Khamturla,Ballarpur
Kinhi,Ballarpur
Korti Makta,Ballarpur
Korti Tukum,Ballarpur
Kothari,Ballarpur
Lawari,Ballarpur
Manora,Ballarpur
Mohali Tukum,Ballarpur
Nandgaon Pode (Ct),Ballarpur
Nimgata Chak,Ballarpur
Nimgata Makta,Ballarpur
Palasgaon,Ballarpur
Visapur (Ct),Ballarpur
--SELECT--,Ballarpur urban
--SELECT--,Bhadravati
Agara,Bhadravati
Ashta,Bhadravati
Ashti Kakade,Bhadravati
Ashti Rith,Bhadravati
Ashti Tukum,Bhadravati
Awandha Rai,Bhadravati
Barang Mokasa,Bhadravati
Belagaon Deshpande,Bhadravati
Belgaon,Bhadravati
Belora,Bhadravati
Bhamdeli,Bhadravati
Bhamdeli Raiyyatwari,Bhadravati
Bhatali,Bhadravati
Bhuyari Rt.,Bhadravati
Bijoni Raiyyatwari,Bhadravati
Bonthala,Bhadravati
Borgaon Dhande,Bhadravati
Borgaon Rt.,Bhadravati
Botezari,Bhadravati
Chak Tirawanja,Bhadravati
Chalbardi,Bhadravati
Chalbardi,Bhadravati
Chandan Kheda,Bhadravati
Chandan Kheda Makta,Bhadravati
Chargaon,Bhadravati
Charur Dharapure,Bhadravati
Chek Baranj,Bhadravati
Chichghat Rith,Bhadravati
Chicholi,Bhadravati
Chinchala  Rith,Bhadravati
Chinchala (R),Bhadravati
Chinchala Raiyyatwari,Bhadravati
Chiparala,Bhadravati
Chiradevi,Bhadravati
Chopan Rith,Bhadravati
Chora,Bhadravati
Deulwada,Bhadravati
Dewada,Bhadravati
Dhamani,Bhadravati
Dhanoli,Bhadravati
Dhonad,Bhadravati
Dhorwasa,Bhadravati
Dongargaon Khardi,Bhadravati
Ghodabadeo Rt.,Bhadravati
Ghode Minwat,Bhadravati
Ghodpeth,Bhadravati
Ghosari,Bhadravati
Ghot Nimbala,Bhadravati
Gorja,Bhadravati
Gotala Rith,Bhadravati
Gulgaon,Bhadravati
Gulgaon Tukum,Bhadravati
Gunjala,Bhadravati
Hardola,Bhadravati
Jena Niwali,Bhadravati
Junona,Bhadravati
Kachrala,Bhadravati
Kadholi,Bhadravati
Kansa Shirpur,Bhadravati
Karegaon,Bhadravati
Karli Navegaon,Bhadravati
Katezari,Bhadravati
Katwal Bhagat,Bhadravati
Katwal Raiyyatwari,Bhadravati
Katwal Tukum,Bhadravati
Kawadi,Bhadravati
Khokari,Bhadravati
Khutala Bhake,Bhadravati
Khutwanda Dixit,Bhadravati
Khutwanda Marar Rith,Bhadravati
Khutwanda Raiyyatwari,Bhadravati
Khutwanda Tukum,Bhadravati
Kiloni,Bhadravati
Kinhala,Bhadravati
Kochi,Bhadravati
Kokewada Mankar,Bhadravati
Kokewada Tukum,Bhadravati
Kondegaon Mal,Bhadravati
Kondegaon Tukum,Bhadravati
Kondha,Bhadravati
Kuchana,Bhadravati
Kudrara Raiyyatwan,Bhadravati
Kunada,Bhadravati
Kuroda,Bhadravati
Lonara Rt.,Bhadravati
Majari,Bhadravati
Mandapur  Rt.,Bhadravati
Mangaon,Bhadravati
Mangli Raiyyatwari,Bhadravati
Manora (Singru),Bhadravati
Masal,Bhadravati
Minwat Kali,Bhadravati
Minwat Tukum,Bhadravati
Mohabala,Bhadravati
Morwa,Bhadravati
Mudholi,Bhadravati
Mursa,Bhadravati
Naglon,Bhadravati
Nagpur Rith,Bhadravati
Nandori Bk.,Bhadravati
Nandori Kh.,Bhadravati
Nandra,Bhadravati
Nawargaon,Bhadravati
Nunhara,Bhadravati
Pachagaon Musalman,Bhadravati
Pachagaon Tukum,Bhadravati
Palasgaon,Bhadravati
Palasgaon Singru,Bhadravati
Panwadala,Bhadravati
Parodhi,Bhadravati
Patala,Bhadravati
Pawana Rt.,Bhadravati
Pewara Tukum,Bhadravati
Pipri,Bhadravati
Pirli,Bhadravati
Ralegaon,Bhadravati
Ralegaon Tola,Bhadravati
Rampuri Raiyyatwari,Bhadravati
Ranatalodhi,Bhadravati
Ratnapur Rith,Bhadravati
Ruyad Rt.,Bhadravati
Sagara,Bhadravati
Saiwan,Bhadravati
Sawarla Shirpur Alias Wadegaon,Bhadravati
Sawri,Bhadravati
Shegaon Kh.,Bhadravati
Sheloti Alias Wagheda,Bhadravati
Shivaji Nagar (Ct),Bhadravati
Sindgavhan Rith,Bhadravati
Sitaram Peth,Bhadravati
Somnala,Bhadravati
Sonegaon Tukum,Bhadravati
Tadoba F.V.,Bhadravati
Taisi Rt.,Bhadravati
Takli,Bhadravati
Tekadi (Dixit),Bhadravati
Telawasa,Bhadravati
Thanegaon,Bhadravati
Thetegaon Rt.,Bhadravati
Thorana,Bhadravati
Tirawanja Mokasa,Bhadravati
Viloda,Bhadravati
Visapur Raiyyatwari,Bhadravati
Vislon,Bhadravati
Wadala Rt.,Bhadravati
Wadala Tukum,Bhadravati
Wadegaon,Bhadravati
Waigaon Raiyyatwari,Bhadravati
Waigaon Tukum,Bhadravati
--SELECT--,Bhadravati urban
--SELECT--,Brahmapuri
Adyal Gaonganna,Brahmapuri
Adyal Tukum,Brahmapuri
Ahernavargaon,Brahmapuri
Akapur Rupala,Brahmapuri
Aksapur,Brahmapuri
Amla Rith,Brahmapuri
Arjuni,Brahmapuri
Awalgaon,Brahmapuri
Ballarpur Mal,Brahmapuri
Baradkinhi,Brahmapuri
Beldati,Brahmapuri
Belgaon,Brahmapuri
Belgaon Kh,Brahmapuri
Belpatali,Brahmapuri
Betala,Brahmapuri
Bhaghwanpur,Brahmapuri
Bhaleshwar,Brahmapuri
Bhanapur Tukum Rith,Brahmapuri
Bhuj Tukum,Brahmapuri
Boddegaon,Brahmapuri
Bodegaon,Brahmapuri
Bodra,Brahmapuri
Bordha,Brahmapuri
Borgaon,Brahmapuri
