Mandal,Village
Ballarpur,Manora
Chimur,Kag
Korpana,Kodsi Bk.
Pombhurna,Welwa Mal
Bhadravati,Katwal Bhagat
Korpana,Nokari(Palgaon)
Sindewahi,Palasgaon Jat
Chandrapur,Belsani
Brahmapuri,Bramhapuri
Chimur,Khangaon
Brahmapuri,Baradkinhi
Chimur,Bothali
Chimur,Bothali
Chimur,Bothali
Chimur,Bothali
Chandrapur,Shengaon
Chandrapur,Shengaon
Brahmapuri,Chikhalgaon
Brahmapuri,Chikhalgaon
Warora,Bodakha
Chimur,Sathgaon
Ballarpur,Kawadjai
Mul,Junasurla
Chimur,Wagheda
Brahmapuri,Pimpalgaon
Brahmapuri,Pimpalgaon
Brahmapuri,Pimpalgaon
Rajura,Chunala
Nagbhir,Chindhi Raiyyatwari
Gondpipri,Arvi
Gondpipri,Arvi
Gondpipri,Arvi
Nagbhir,Navegaon Pandav
Bhadravati,Bhatali
Bhadravati,Bhatali
Ballarpur,Palasgaon
Ballarpur,Palasgaon
Ballarpur,Palasgaon
Warora,Chargaon Kh.
Chimur,Chimur
Brahmapuri,Sonegaon
Brahmapuri,Sonegaon
Brahmapuri,Sonegaon
Brahmapuri,Sonegaon
Brahmapuri,Sonegaon
Bhadravati,Takli
Jiwati,Maraipatann
Gondpipri,Wejgaon
Brahmapuri,Kolari
Brahmapuri,Kolari
Bhadravati,Mursa
Warora,Chargaon Bk.
Warora,Nagari
Brahmapuri,Parsodi
Brahmapuri,Parsodi
Brahmapuri,Parsodi
Chimur,Pandharwani
Chimur,Pandharwani
Sawali,Haramba
Korpana,Talodhi
Korpana,Talodhi
Chimur,Madnapur
Nagbhir,Kachepar
Brahmapuri,Ladaj
Bhadravati,Chargaon
Bhadravati,Chargaon
Bhadravati,Chargaon
Bhadravati,Khokari
