Mandal,Village
Sakri,Hodadane
Sakri,Warse
Sakri,Nawadane
Shirpur,Chilare
Shirpur,Karvand
Dhule,Burzad
Shirpur,Vikharan Bk.
Dhule,Behed
Dhule,Behed
Dhule,Deobhane
Dhule,Arvi
Sakri,Shewali (D )
Dhule,Kapadne
Sakri,Ichchapur
Sakri,Shewadi
Sakri,Bopkhel
Sakri,Malpur
Sakri,Malpur
Sakri,Dhamnar
Sindkhede,Takarkhede
Dhule,Kawathi
Sindkhede,Dondaicha
Sakri,Pimpalner
Dhule,Boris
Shirpur,Tembhe Bk.
Dhule,Tisgaon
Dhule,Nandale Bk.
Shirpur,Tarhad (Kasbe)
Dhule,Bhadane
Dhule,Bhadane
Dhule,Bhadane
Sakri,Gangapur
Sakri,Kasare
Sindkhede,Khalane
Sakri,Nandwan
Sakri,Dhamnar
Sindkhede,Rohane
Shirpur,Vanaval
Dhule,Ubhand
Dhule,Ubhand
Sakri,Dusane
Shirpur,Palasner
Shirpur,Tekwade
Sakri,Bramhanwel
Shirpur,Balkuwe
Dhule,Shirud
Dhule,Ner
Sindkhede,Tamthre
Dhule,Nimdale
Shirpur,Khamkhede Pr. Ambe
Sakri,Datarti
Dhule,Nikumbhe
Shirpur,New Boradi
Shirpur,Thalner
Sakri,Khargaon
Dhule,Chaugaon
Sakri,Sayyadnagar
Sakri,Kaldar
Sakri,Dighawe
Shirpur,Arthe Kh.
Sakri,Mandane
Sakri,Mandane
Sakri,Hatti Kh.
Sakri,Kokale
Dhule,Lamkani
Sakri,Dhaner
Dhule,Dhamane
Dhule,Dhamane
Dhule,Wadne
Shirpur,Untawad
Shirpur,Ghodasgaon
Shirpur,Hisale
Dhule,Udane
Shirpur,Kodid
Shirpur,Babhulde
Shirpur,Babhulde
Sakri,Manjari
Shirpur,Waghadi
Dhule,Purmepada
Sindkhede,Virdel
Dhule,Nagaon Bk.
Dhule,Bodgaon
Dhule,Bodgaon
