--SELECT--,--SELECT--
--SELECT--,Aheri
Abanpalli (M),Aheri
Abanpalli (S),Aheri
Aheri (Ct),Aheri
Aldandi (M),Aheri
Allapalli,Aheri
Ambezara,Aheri
Appapalli (M),Aheri
Arenda,Aheri
Arkapalli,Aheri
Asa M,Aheri
Asali (M),Aheri
Avalmari,Aheri
Bhangaram Petta (M),Aheri
Bhaswapur,Aheri
Bhimaram M,Aheri
Birhadghat,Aheri
Bondra M,Aheri
Bori,Aheri
Botlacheru,Aheri
Burukmalampalli,Aheri
Chandra M,Aheri
Chandra S,Aheri
Chaudampalli,Aheri
Cherpalli S,Aheri
Chhallewada,Aheri
Chinchgundi,Aheri
Chintalpeth,Aheri
Chirepalli,Aheri
Chitweli,Aheri
Dabbatog M,Aheri
Damaram M,Aheri
Damaram S,Aheri
Damrancha,Aheri
Dechali  S,Aheri
Devalmari  M,Aheri
Devalmari  S,Aheri
Dinacherapalli,Aheri
Dodepalli,Aheri
Dodger,Aheri
Dubbagudam,Aheri
Gadaheri,Aheri
Gadaheribamni,Aheri
Garewada,Aheri
Golakaraji,Aheri
Gotelingampalli,Aheri
Govindgaon,Aheri
Gudigudam,Aheri
Gundera  S,Aheri
Gurja Bk,Aheri
Gurja Kh,Aheri
Indaram  S,Aheri
Indaram (M),Aheri
Italcheru,Aheri
Jamgaon,Aheri
Jimmalgatta  S,Aheri
Joganguda,Aheri
Joganguda,Aheri
Kachler,Aheri
Kalled,Aheri
Kamalpur,Aheri
Kamasur,Aheri
Kannepalli,Aheri
Karancha S,Aheri
Kasampalli,Aheri
Katepalli  M,Aheri
Katepalli  S,Aheri
Kavatharam,Aheri
Kerneli  M,Aheri
Kerneli  S,Aheri
Khamancheru,Aheri
Khandala,Aheri
Kodekasa,Aheri
Kodsepalli  M,Aheri
Kodsepalli  S,Aheri
Kolamarka,Aheri
Kolapalli  M,Aheri
Konjed,Aheri
Koreli Bk,Aheri
Koreli Kh,Aheri
Korepalli,Aheri
Krishnapur,Aheri
Krishnapur  M,Aheri
Krishnapur  S,Aheri
Krishnapur Welgur,Aheri
Kultha,Aheri
Kurumpalli,Aheri
Lakhanguda  S,Aheri
Lakhanguda (M),Aheri
Lankachan  S,Aheri
Lankachen  M,Aheri
Lingampalli,Aheri
Lowa S,Aheri
Mahagaon  M,Aheri
Mahagaon Bk,Aheri
Mahagaon Kh,Aheri
Mailaram,Aheri
Mandra S,Aheri
Marneli  M,Aheri
Marpalli,Aheri
Medpalli,Aheri
Medpalli S,Aheri
Metigudam,Aheri
Michagunda,Aheri
Mirkal M,Aheri
Modumadgu,Aheri
Modumadgu,Aheri
Modumodgu M,Aheri
Modumtura M,Aheri
Modumtura S,Aheri
Mosam (S),Aheri
Motukpalli S,Aheri
Mudewahi,Aheri
Mukhanpalli,Aheri
Nagepalli M,Aheri
Nagepalli S,Aheri
Nainer M,Aheri
Naingudam,Aheri
Nandigaon M,Aheri
Nawegaon,Aheri
Palle S,Aheri
Patanil,Aheri
Pattigaon M,Aheri
Pattigaon M,Aheri
Pattigaon S,Aheri
Perkabhati S,Aheri
Permili,Aheri
Peta S,Aheri
Pusukpalli,Aheri
Rajaram,Aheri
Rajpur Patch,Aheri
Ramayyapetha,Aheri
Rampur Chak,Aheri
Rampur M,Aheri
Rampur S,Aheri
Rapeli,Aheri
Raspalli S,Aheri
Raygatta,Aheri
Rengulwahi,Aheri
Repanpalli,Aheri
Sakangatta,Aheri
Sandra S,Aheri
Silmpalli,Aheri
Sinda M,Aheri
Sinda S,Aheri
Singampeth,Aheri
Suddagudam,Aheri
Tadguda,Aheri
Talwada,Aheri
Tanbodi,Aheri
Tatigudam,Aheri
Tekampalli,Aheri
Tikepalli,Aheri
Timaram,Aheri
Timaram M,Aheri
Timaram S,Aheri
Todka M,Aheri
Todka S,Aheri
Tondel,Aheri
Tonder,Aheri
Umanur M,Aheri
Umanur S,Aheri
Vedampalli,Aheri
Vyankatraopeta M,Aheri
Vyankatraopeta S,Aheri
Vyenkatapur M,Aheri
Vyenkatapur S,Aheri
Wadla Peth,Aheri
Wange Palli,Aheri
Watra Bk M,Aheri
Watra Bk S,Aheri
Watra Kh  S,Aheri
Watra Kh M,Aheri
Welgur M,Aheri
Welgur S,Aheri
Welgurtola,Aheri
Yedampalli,Aheri
Yedranga,Aheri
Yelchil,Aheri
Yellaram,Aheri
Yenkabanda,Aheri
Yenkapalli,Aheri
Yeragadda,Aheri
Yermanar,Aheri
Zimela,Aheri
--SELECT--,Aheri urban
--SELECT--,Armori
Akapur Chak,Armori
Armori,Armori
Arsoda,Armori
Ashta,Armori
Bhakrondi,Armori
Bhansi,Armori
Bodadha Chak,Armori
Bori Chak,Armori
Borkanhar Patch,Armori
Chamorshi (M.),Armori
Chamorshi Chak,Armori
Chavela,Armori
Chicholi,Armori
Chicholi Chak,Armori
Churmura,Armori
Darli,Armori
Davandi,Armori
Delanwadi,Armori
Deloda  Kh,Armori
Deloda Bk,Armori
Deshapur,Armori
Deshpur Chak,Armori
Deulgaon,Armori
Devipur Kamp,Armori
Dongar Tamasi,Armori
Dongar Tamasi Patch,Armori
Dongargaon (Bhusari),Armori
Dongarsawangi,Armori
Ganeshpur Chak,Armori
Hirapur Rith,Armori
Injewari,Armori
Jambhali,Armori
Jogisakhara,Armori
Kaneri,Armori
Karpada Chak,Armori
Kasavi,Armori
Khadki,Armori
Khairi,Armori
Khardi,Armori
Kitadi,Armori
Kojabi,Armori
Koregaon,Armori
Kosari,Armori
Kulkuli,Armori
Kurandi,Armori
Kurandi Chak,Armori
Kurunza,Armori
Lohara,Armori
Manapur,Armori
Mangda,Armori
Mangewada,Armori
