--SELECT--,--SELECT--
--SELECT--,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.1,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.10,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.11,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.12,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.13,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.14,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.15,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.16,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.17,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.2,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.3,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.4,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.5,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.6,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.7,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.8,Aunda Nagnath Urban
Aunda Nagnath (M Cl) - Ward No.9,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.1,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.10,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.11,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.12,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.13,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.14,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.15,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.16,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.17,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.2,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.3,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.4,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.5,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.6,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.7,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.8,Aunda Nagnath Urban
Sengaon (M Cl) - Ward No.9,Aunda Nagnath Urban
--SELECT--,Aundha (Nagnath)
Ajalsonda,Aundha (Nagnath)
Amdari,Aundha (Nagnath)
Anjanwada,Aundha (Nagnath)
Anjanwada Tanda,Aundha (Nagnath)
Anjanwadi,Aundha (Nagnath)
Ankhali,Aundha (Nagnath)
Asola Traf Aundha,Aundha (Nagnath)
Asola Traf Lakh,Aundha (Nagnath)
Asonda,Aundha (Nagnath)
Aundha Nagnath,Aundha (Nagnath)
Berula,Aundha (Nagnath)
Bhagwa,Aundha (Nagnath)
Bhosi,Aundha (Nagnath)
Borja,Aundha (Nagnath)
Bramhanwada Pr.Aundha,Aundha (Nagnath)
Chimegaon,Aundha (Nagnath)
Chincholi Nikoba,Aundha (Nagnath)
Chondi Tarf Shahapur,Aundha (Nagnath)
Daregaon,Aundha (Nagnath)
Daregavhan,Aundha (Nagnath)
Daudgaon,Aundha (Nagnath)
Devala,Aundha (Nagnath)
Dewala,Aundha (Nagnath)
Dhar,Aundha (Nagnath)
Dharkheda,Aundha (Nagnath)
Dhegaj,Aundha (Nagnath)
Dughala,Aundha (Nagnath)
Durchuna,Aundha (Nagnath)
Gadhala,Aundha (Nagnath)
Galandi,Aundha (Nagnath)
Gangalwadi,Aundha (Nagnath)
Gawalewadi,Aundha (Nagnath)
Gojegaon,Aundha (Nagnath)
Golegaon,Aundha (Nagnath)
Gongla,Aundha (Nagnath)
Hiwara Jatu,Aundha (Nagnath)
Hiwarkheda,Aundha (Nagnath)
Jadgaon,Aundha (Nagnath)
Jalaldhaba,Aundha (Nagnath)
Jalalpur,Aundha (Nagnath)
Jamgavhan,Aundha (Nagnath)
Jamraja,Aundha (Nagnath)
Jawala Bajar,Aundha (Nagnath)
Jod Pimpri,Aundha (Nagnath)
Kakaddhaba,Aundha (Nagnath)
Kamatha,Aundha (Nagnath)
Kanjara,Aundha (Nagnath)
Kathoda,Aundha (Nagnath)
Kathoda Tanda,Aundha (Nagnath)
Keli,Aundha (Nagnath)
Keli Tanda,Aundha (Nagnath)
Kondashi Bk,Aundha (Nagnath)
Kondashi Kh,Aundha (Nagnath)
Kundkar Pimpri,Aundha (Nagnath)
Lad Pimpri,Aundha (Nagnath)
Lakh,Aundha (Nagnath)
Landala,Aundha (Nagnath)
Laxmannaik Tanda,Aundha (Nagnath)
Lohara Bk,Aundha (Nagnath)
Lohara Kh,Aundha (Nagnath)
Mahalajgaon,Aundha (Nagnath)
Mardi,Aundha (Nagnath)
Matha,Aundha (Nagnath)
Metha,Aundha (Nagnath)
Murtijapur Sawangi,Aundha (Nagnath)
Nageshwadi,Aundha (Nagnath)
Nagzari,Aundha (Nagnath)
Nalegaon,Aundha (Nagnath)
Nandgaon,Aundha (Nagnath)
Nandkheda,Aundha (Nagnath)
Nishana,Aundha (Nagnath)
Pangra Tarf Lakh,Aundha (Nagnath)
Pardi[Sawali],Aundha (Nagnath)
Pazar Tanda,Aundha (Nagnath)
Perjabad,Aundha (Nagnath)
Phuldhaba,Aundha (Nagnath)
Pimpaldari Tarf Nandapur,Aundha (Nagnath)
Pimpla,Aundha (Nagnath)
Poor,Aundha (Nagnath)
Pota Bk.,Aundha (Nagnath)
Pota Kh.,Aundha (Nagnath)
Purjal,Aundha (Nagnath)
Rajapur,Aundha (Nagnath)
Rajdari,Aundha (Nagnath)
Rameshwar,Aundha (Nagnath)
Ranjala,Aundha (Nagnath)
Rupur,Aundha (Nagnath)
Salna,Aundha (Nagnath)
Sanghanaik  Tanda,Aundha (Nagnath)
Sarangwadi,Aundha (Nagnath)
Sawali,Aundha (Nagnath)
Sawali Kh.,Aundha (Nagnath)
Sawali Tanda,Aundha (Nagnath)
Sawar Kheda,Aundha (Nagnath)
Sendur Sana,Aundha (Nagnath)
Shirad Shahapur,Aundha (Nagnath)
Siddheshwar,Aundha (Nagnath)
Sirala,Aundha (Nagnath)
Sirala Tanda,Aundha (Nagnath)
Sonwadi,Aundha (Nagnath)
Sukapur,Aundha (Nagnath)
Suregaon,Aundha (Nagnath)
Surwadi,Aundha (Nagnath)
Takalgavhan Tarf Aundha,Aundha (Nagnath)
Takalgavhan Tarf Shahapur,Aundha (Nagnath)
Takalkhopa,Aundha (Nagnath)
Talni Pr. Aundha,Aundha (Nagnath)
Tamtitanda,Aundha (Nagnath)
Tapowan,Aundha (Nagnath)
Tembhurdara,Aundha (Nagnath)
Turk Pimpari,Aundha (Nagnath)
Ukhali,Aundha (Nagnath)
Umra,Aundha (Nagnath)
Undegaon,Aundha (Nagnath)
Wadad,Aundha (Nagnath)
Wadchuna,Aundha (Nagnath)
Walki,Aundha (Nagnath)
Wangarwadi,Aundha (Nagnath)
Wangarwadi Tanda,Aundha (Nagnath)
Wasai,Aundha (Nagnath)
Yedud,Aundha (Nagnath)
Yehalegaon (Solanke),Aundha (Nagnath)
Yeli,Aundha (Nagnath)
--SELECT--,Basmath
Adgaon,Basmath
Agdad,Basmath
Akoli,Basmath
Amba,Basmath
Ambala,Basmath
Ambanath,Basmath
Aral,Basmath
Asegaon,Basmath
Babhulgaon,Basmath
Bagdad,Basmath
Balegaon,Basmath
Barepurwadi,Basmath
Basmat,Basmath
Bhategaon,Basmath
Bhendegaon,Basmath
Bhogaon,Basmath
Bhoripgaon,Basmath
Borala,Basmath
Borgaon Bk.,Basmath
Borgaon Kh.,Basmath
Borisawant,Basmath
Brahmangaon Bk.,Basmath
Brahmangaon Kh.,Basmath
Chandgavhan,Basmath
Chikhali,Basmath
Chincholi T. A.,Basmath
Chincholi Tarf Malavta,Basmath
Chondhi Tarf Sendursena,Basmath
Dabhadi,Basmath
Dagadgaon,Basmath
Dagadpimpri,Basmath
Darephal,Basmath
Dhamangaon,Basmath
Dhanora-Tarf-Aral,Basmath
Dhaulgaon,Basmath
Digras Kh.,Basmath
Donwada,Basmath
Ekrukha,Basmath
Ganeshpur,Basmath
Girgaon,Basmath
Govindpur T. Hayatnagar,Basmath
Gunda,Basmath
Gunj T. Asegaon,Basmath
Hapsapur,Basmath
Hatta,Basmath
Hayatnagar,Basmath
Hiradgaon,Basmath
Hisewadgaon,Basmath
Hiwara Kh,Basmath
Injangaon,Basmath
Jawala Bk.,Basmath
Jawala Kh.,Basmath
Jawala Traf Babulgaon,Basmath
Jununa,Basmath
Kagban,Basmath
Kalamba,Basmath
Kallavi,Basmath
Kanhergaon,Basmath
Kanosa,Basmath
Karanjala,Basmath
Karanji,Basmath
Kaudgaon,Basmath
Kawatha,Basmath
Khajamapur,Basmath
Khambala,Basmath
Khandarban,Basmath
Khandegaon,Basmath
Khapar Kheda,Basmath
Khudnapur,Basmath
Kinhola,Basmath
Konatha,Basmath
Korta,Basmath
Kothari,Basmath
Kotharwadi,Basmath
Kudala,Basmath
Kupti,Basmath
Kurunda,Basmath
Kurundwadi,Basmath
Lahan,Basmath
Lingi,Basmath
Loleshwar,Basmath
Lon Bk.,Basmath
Mahagaon,Basmath
Mahmadapurwadi,Basmath
Malwata,Basmath
Marlapur,Basmath
Marsul,Basmath
Marsulwadi Tanda,Basmath
Mategaon,Basmath
Mhatargaon,Basmath
Mohagaon,Basmath
Mudi,Basmath
Murumba Bk.,Basmath
Murumba Kh.,Basmath
Nagapur,Basmath
Nahad,Basmath
Nasratpur,Basmath
Palasgaon Tarf Dhamangaon,Basmath
Palasgaon Tarf Malota,Basmath
Palsi,Basmath
Pangra bokhare,Basmath
Pangra Shinde,Basmath
Pangra Tarf Dhamangaon,Basmath
Pangrasati,Basmath
Parajana,Basmath
Pardi Bk.,Basmath
Pardi Kh,Basmath
Parli,Basmath
Parwa,Basmath
Phata,Basmath
Phattepur,Basmath
Pimpala Chorya,Basmath
Pimpalgaon Hajam,Basmath
Pimprala,Basmath
Pimpri,Basmath
Polka,Basmath
Puyani Bk,Basmath
Puyani Kh,Basmath
Rajapur,Basmath
Rajawadi,Basmath
Ranjana,Basmath
Raywadi,Basmath
Renkapur,Basmath
Reulgaon,Basmath
Ridhora,Basmath
Rodga,Basmath
Rukhi,Basmath
Runj T. Asegaon,Basmath
Sangmeshwar,Basmath
