Mandal,Village
Aundha (Nagnath),Jod Pimpri
Hingoli,Sayala
Hingoli,Idoli
Kalamnuri,Kawadi
Hingoli,Chincholi
Aundha (Nagnath),Asola Traf Aundha
Basmath,Lahan
Sengaon,Surajkheda
Basmath,Thorava
Hingoli,Takli Tarf Nandapur
Sengaon,Uti Purna
Sengaon,Khudaj
Aundha (Nagnath),Walki
Sengaon,Palshi
Aundha (Nagnath),Jamgavhan
Aundha (Nagnath),Jamgavhan
Kalamnuri,Dongarkada
Hingoli,Malselu
Kalamnuri,Salegaon
Kalamnuri,Salegaon
Sengaon,Kapadsingi
Hingoli,Hingoli
Sengaon,Kelsula
Aundha (Nagnath),Aundha Nagnath
Hingoli,Bhandegaon
Kalamnuri,Kanhegaon
Basmath,Kurunda
Basmath,Hiradgaon
Kalamnuri,Babhali
Kalamnuri,Ada
Aundha (Nagnath),Tapowan
Aundha (Nagnath),Tapowan
Basmath,Jawala Bk.
Basmath,Jawala Bk.
Kalamnuri,Shiwani Kh.
Aundha (Nagnath),Pardi[Sawali]
Sengaon,Jamdaya
Kalamnuri,Harwadi
Sengaon,Waghjali
Hingoli,Jamthi Kh.
Sengaon,Dhangarwadi
