Mandal,Village
Yawal,Sangvi Bk
Jamner,Takali Bk.
Jamner,Takali Bk.
Chalisgaon,Hatale
Chopda,Virwade
Jamner,Jamner
Parola,Mhasve
Pachora,Anturli Kh.Pr.Pachora
Raver,Lumkhede
Chopda,Vardi
Jalgaon,Shirsoli P.B.
Erandol,Ravanje Bk.
Erandol,Vikharan
Muktainagar (Edlabad),Chikhali
Amalner,Patonda
Amalner,Patonda
Chopda,Akulkhede
Chopda,Hatede Bk.
Chalisgaon,Talegaon
Chalisgaon,Talegaon
Pachora,Balad Bk.
Pachora,Lohatar
Bodvad,Chinchkhede Seem
Chalisgaon,Mehunbare
Chopda,Tawase Bk.
Erandol,Kasoda
Bhadgaon,Kolgaon
Muktainagar (Edlabad),Kurhe
Bodvad,Manur Bk.
Parola,Shirsode
Jalgaon,Nashirabad
Bodvad,Ghankhede
Bhadgaon,Gudhe
Chalisgaon,Hirapur
Chalisgaon,Hirapur
Yawal,Chitode
Jamner,Godri
Dharangaon,Nanded
Yawal,Satod Pr Yawal
Jamner,Kalkhede
Chalisgaon,Londhe
Muktainagar (Edlabad),Rigaon
Jamner,Neri Bk.
Chopda,Ichhapur
Chopda,Ichhapur
Bodvad,Shelwad
Bodvad,Nadgaon
Parola,Shivare Digar
Jalgaon,Bilwadi
Jalgaon,Bilwadi
Erandol,Bamhne
Jamner,Kapuswadi
Chalisgaon,Tekwade Bk.
Erandol,Pimpalkothe Pr. Chandsar
Chalisgaon,Wakadi
Chalisgaon,Wakadi
Chalisgaon,Wakadi
Chalisgaon,Waghale
Raver,Morgaon Kh.
Jalgaon,Mhasawad
Jamner,Bhagdara
Chopda,Ghodgaon
Bhadgaon,Pimpalgaon Bk.
Bhadgaon,Pimpalgaon Bk.
Bhadgaon,Pimpalgaon Bk.
Bhadgaon,Pimpalgaon Bk.
Jamner,Samrod
Jalgaon,Avhane
Chalisgaon,Pimpalwad Mhalsa
Pachora,Khadakdeole Bk.
Jamner,Tondapur
Parola,Mehu
Dharangaon,Rotwad
Dharangaon,Rotwad
Chalisgaon,Tarwade Bk.
Jamner,Kasba Pimpri
Muktainagar (Edlabad),Nimkhedi  Bk.
Bhadgaon,Bhadgaon
Chalisgaon,Deoli
Pachora,Nagardeole Bk.
Raver,Maskawadsim
Amalner,Khaushi Bk.
Amalner,Mathagavhan
Bhusawal,Fulgaon
Bhadgaon,Kanashi
Jamner,Tornale
Chopda,Narwade
Erandol,Ravanje Kh.
Raver,Khanapur
Erandol,Erandol (Rural)
Amalner,Padalse
Amalner,Padalse
Chalisgaon,Odhare
Bhadgaon,Nimbhore
Bhadgaon,Nimbhore
Pachora,Dambhurni
Pachora,Dambhurni
Jamner,Garkhede Bk
Raver,Kerhale Bk.
Raver,Maskawad Bk.
Jalgaon,Vadnagari
Bhadgaon,Wade
Raver,Dhamodi
Pachora,Dighi
Chalisgaon,Mandurne
Yawal,Dangarkuthora
Chalisgaon,Chalisgaon
Bhusawal,Mondhale
Bhusawal,Mondhale
Bhadgaon,Gondgaon
Chopda,Chunchale
Chopda,Chunchale
Chalisgaon,Ganeshpur
Chalisgaon,Ganeshpur
Jalgaon,Pathari
Bhadgaon,Shindi
Bhadgaon,Shindi
Bhadgaon,Shindi
Chalisgaon,Ramnagar
Chalisgaon,Ramnagar
Chalisgaon,Rohini
Chopda,Sutkar
Bodvad,Revati
Chopda,Kurvel
Dharangaon,Narne
Chopda,Chahardi
Chalisgaon,Talonde Pr. Dehere
Jalgaon,Kanalde
Bodvad,Yevati
Chopda,Adwad
Bodvad,Bodwad
Bodvad,Bodwad
Bodvad,Palaskhede Bk.
Bodvad,Palaskhede Bk.
Chalisgaon,Waghali
Jalgaon,Shelgaon
Jalgaon,Shelgaon
Yawal,Kingaon Bk
Dharangaon,Garkhede
Dharangaon,Garkhede
Chopda,Kamalgaon
Jamner,Hivar Khede Bk.
