Mandal,Village
Bhokardan,Khadki
Bhokardan,Khadki
Jafferabad,Bharaj Kh.
Mantha,Uswad (Devthana)
Ambad,Dhangar Pimpari
Partur,Partur
Ghansawangi,Jamb Samarth
Bhokardan,Kolegaon
Bhokardan,Kolegaon
Ambad,Bhanang Jalgaon
Badnapur,Somthana
Bhokardan,Merkheda
Bhokardan,Merkheda
Bhokardan,Jawkheda Bk.
Mantha,Mantha
Partur,Mapegaon Kh.
Jafferabad,Papal
Ghansawangi,Devdi Hadgaon
Ambad,Sonak Pimpalgaon
Partur,Satara Wahegaon
Badnapur,Jawasgaon
Ambad,Bhamberi
Ambad,Wadikalya
Badnapur,Pirsavangi
Jalna,Utavad
Jalna,Sawargaon Bhagde
Badnapur,Keligavhan
Ghansawangi,Bhadli Kh.
Bhokardan,Goshegaon
Ambad,Dhakalgaon
Ghansawangi,Pimparkhed Bk.
Ghansawangi,Masegaon
Ambad,Ghungarde Hadgaon
Ghansawangi,Kumbhar Pimpalgaon
Ghansawangi,Paduli Bk.
Jafferabad,Devale Gavhan
Ghansawangi,Khalapuri
Jalna,Kautha
Partur,Babai
Jalna,Jalna
Partur,Usmanpur
Badnapur,Gokulwadi
Badnapur,Gokulwadi
Ambad,Dhalaskheda
Partur,Ashti
Ambad,Pithori Sirasgaon
Ghansawangi,Karadgaon
Mantha,Pewa
Bhokardan,Banegaon
Bhokardan,Banegaon
Ambad,Karanjala
Ghansawangi,Chitravadgaon
Bhokardan,Tadegaonwadi
Bhokardan,Savangi Aughadrao
Mantha,Vidoli Bk.
Bhokardan,Walsakhalsa
Bhokardan,Paradh Bk.
Partur,Kokate Hadgaon
Ambad,Dahipuri
Ghansawangi,Argadegavhan
Partur,Wahegaon Satara
