Mandal,Village
Kagal,Shankarwadi
Panhala,Majegaon
Shirol,Abdul Lat
Hatkanangle,Nagaon
Hatkanangle,Nagaon
Gadhinglaj,Terani
Gadhinglaj,Mutnal
Karvir,Vakare
Shirol,Udagaon
Shahuwadi,Kode
Kagal,Mangnoor
Bavda,Kherivade
Bavda,Kherivade
Bhudargad,Karambali
Bhudargad,Karambali
Gadhinglaj,Kasaba Nool
Radhanagari,Dhamod
Chandgad,Asagaon
Chandgad,Asagaon
Bhudargad,Kumbharwadi
Bhudargad,Kumbharwadi
Bhudargad,Kumbharwadi
Ajra,Khede
Ajra,Khede
Chandgad,Date
Shahuwadi,Parale
Karvir,Teraswadi
Chandgad,Hallarwadi
Radhanagari,Kaulav
Karvir,Washi
Karvir,Washi
Chandgad,Tudiye
Ajra,Khanapur
Ajra,Khanapur
Radhanagari,Bujawade
Panhala,Panore
Karvir,Khebavade
Shirol,Nandani
Radhanagari,Keloshi Bk.
Radhanagari,Keloshi Kh.
Shirol,Nimshirgaon
Bavda,Dhundavade
Radhanagari,Kasarputale
Shirol,Shirol
Kagal,Haladi
Kagal,Haladi
Panhala,Nanundre
Hatkanangle,Top
Karvir,Khupire
Radhanagari,Kapileshwar
Kagal,Khadakewada
Bhudargad,Palshivane
Shirol,Latwadi
Hatkanangle,Pargaon
Chandgad,Pundra
Chandgad,Shivange
Panhala,Telave
Shahuwadi,Katlewadi
Chandgad,Halkarni
Chandgad,Halkarni
Karvir,Walivade
Panhala,Jakhale
Kagal,Boravade
Kagal,Valave Kh.
Bhudargad,Nadhavade
Karvir,Kalambe Tarf Kale
Chandgad,Kitwad
Bhudargad,Konvade
Chandgad,Kamewadi
Panhala,Kale
Hatkanangle,Rendal
Panhala,Kololi
Hatkanangle,Ingali
Chandgad,Tavarewadi
Chandgad,Tavarewadi
Kagal,Bamani
Kagal,Lingnur Dumala
Shirol,Kutwad
Chandgad,Nandavade
Shirol,Kanwad
Radhanagari,Phejiwade
Karvir,Adur
Kagal,Bachani
Kagal,Bachani
Kagal,Kembali
Ajra,Chavhanwadi
Ajra,Chavhanwadi
Ajra,Ningudage
Panhala,Darewadi
Kagal,Chikhali Kasaba
Kagal,Vhanali
Shirol,Ghosarwad
Ajra,Saroli
Ajra,Saroli
Ajra,Saroli
Panhala,Porle T.Thane
Ajra,Latagaon
Bavda,Sangashi
Karvir,Vadanage
Gadhinglaj,Hanimnal
Karvir,Yevati
Kagal,Daulatwadi
Karvir,Kerle
Karvir,Kerle
Radhanagari,Burambali
Shirol,Haroli
Radhanagari,Chandre
Kagal,Shendur
Gadhinglaj,Basarge  Kh
