--SELECT--,--SELECT--
--SELECT--,Ahmadpur
Ahamadpur,Ahmadpur
Ajani Kh,Ahmadpur
Ambegaon,Ahmadpur
Anandwadi,Ahmadpur
Anandwadi,Ahmadpur
Andhori.,Ahmadpur
Babaldara,Ahmadpur
Belur,Ahmadpur
Bhutekarwadi,Ahmadpur
Bodkha,Ahmadpur
Borgaon Kh.,Ahmadpur
Brahmapuri,Ahmadpur
Brahmawadi,Ahmadpur
Chikhali,Ahmadpur
Chilkha,Ahmadpur
Chopali,Ahmadpur
Dagadwadi,Ahmadpur
Devkara,Ahmadpur
Dhalegaon,Ahmadpur
Dhanora Bk.,Ahmadpur
Dhanora Kh.,Ahmadpur
Dhaswadi,Ahmadpur
Fattepur,Ahmadpur
Gadewadi,Ahmadpur
Gangahipparga,Ahmadpur
Gothala,Ahmadpur
Gudalewadi,Ahmadpur
Gugdal,Ahmadpur
Gunjoti,Ahmadpur
Guttewadi,Ahmadpur
Hadolti,Ahmadpur
Hagdal,Ahmadpur
Halni.,Ahmadpur
Hangarga,Ahmadpur
Hasarni,Ahmadpur
Himppalgaon,Ahmadpur
Hingangaon,Ahmadpur
Hipparga (Kopdev),Ahmadpur
Hipparga Kajal,Ahmadpur
Jamb,Ahmadpur
Jawalga,Ahmadpur
Kalegaon,Ahmadpur
Kaudgaon,Ahmadpur
Kendrewadi,Ahmadpur
Khanapur (Mohgaon),Ahmadpur
Khandali,Ahmadpur
Kharabwadi,Ahmadpur
Kingaon,Ahmadpur
Kinikadu,Ahmadpur
Kokanga,Ahmadpur
Kolwadi,Ahmadpur
Kopra,Ahmadpur
Kumtha (Bk),Ahmadpur
Lanji,Ahmadpur
Lendhegaon,Ahmadpur
Lingdhal,Ahmadpur
Mahadeowadi,Ahmadpur
Makani,Ahmadpur
Malegaon Kh.,Ahmadpur
Mandni,Ahmadpur
Mangdari,Ahmadpur
Mankhed,Ahmadpur
Marshiwani Tanda,Ahmadpur
Mawalgaon,Ahmadpur
Methi,Ahmadpur
Mogha,Ahmadpur
Mohgaon,Ahmadpur
Molwan,Ahmadpur
Morewadi,Ahmadpur
Mulki,Ahmadpur
Nagthana,Ahmadpur
Nagzari,Ahmadpur
Nandura Bk.,Ahmadpur
Nandura Kh.,Ahmadpur
Narwatwadi,Ahmadpur
Par,Ahmadpur
Parchanda,Ahmadpur
Patoda,Ahmadpur
Ralga,Ahmadpur
Rudha,Ahmadpur
Rui,Ahmadpur
Rui Tanda,Ahmadpur
Salgara,Ahmadpur
Sangvi (Sunegaon),Ahmadpur
Satala,Ahmadpur
Sawargaon Rokda,Ahmadpur
Sawargaon Thot,Ahmadpur
Sayyadpur (Kh),Ahmadpur
Senkud,Ahmadpur
Shendri,Ahmadpur
Shenni,Ahmadpur
Shirur Tajband,Ahmadpur
Shivankhed (Kh),Ahmadpur
Sindgi Bk.,Ahmadpur
Sindgi Kh.,Ahmadpur
Sonkhed,Ahmadpur
Sora,Ahmadpur
Sumthana,Ahmadpur
Sunegaon (Sangvi),Ahmadpur
Sunegaon (Shendri),Ahmadpur
Takalgaon (Kam),Ahmadpur
Takalgaon (Senkud),Ahmadpur
Talegaon,Ahmadpur
Tambat Sangvi,Ahmadpur
Telgaon,Ahmadpur
Temburni,Ahmadpur
Thodga,Ahmadpur
Thorliwadi,Ahmadpur
Tirth,Ahmadpur
Ugilewadi,Ahmadpur
Ujana,Ahmadpur
Umarga Kort,Ahmadpur
Umarga Yelladevi,Ahmadpur
Unni,Ahmadpur
Vhotala,Ahmadpur
Vilegaon,Ahmadpur
Wadarwadi,Ahmadpur
Waigaon,Ahmadpur
Wairagadh,Ahmadpur
Walsangi,Ahmadpur
Wanjarwadi,Ahmadpur
Warwanti,Ahmadpur
Warwanti Tanda,Ahmadpur
Yeldarwadi,Ahmadpur
Yertar,Ahmadpur
--SELECT--,Ahmadpur urban
Ahmadpur (M Cl) - Ward No.18,Ahmadpur urban
Ahmadpur (M Cl) - Ward No.19,Ahmadpur urban
Ahmadpur (M Cl) - Ward No.20,Ahmadpur urban
--SELECT--,Ausa
Almala,Ausa
Anandwadi,Ausa
Andora,Ausa
Apchunda,Ausa
Ashiv,Ausa
Ausa [Rural],Ausa
Banegaon,Ausa
Barhanpur,Ausa
Belkund,Ausa
Bhada,Ausa
Bhangewadi,Ausa
Bheta,Ausa
Bhusani,Ausa
Birawali,Ausa
Borgaon,Ausa
Borphal,Ausa
Budhada,Ausa
Chalburga,Ausa
Chincholi Jo,Ausa
Chincholi Kajale,Ausa
Chincholi Son,Ausa
Chincholi Tapse,Ausa
Dapegaon,Ausa
Dautpur,Ausa
Devtala,Ausa
Dewanga,Ausa
Dhanora,Ausa
Fattepur,Ausa
Gadhawewadi,Ausa
Ganjankheda,Ausa
Gondri,Ausa
Gotewadi,Ausa
Gubal,Ausa
Gulkheda,Ausa
Haldurg,Ausa
Haregaon,Ausa
Hasala,Ausa
Hasalgan,Ausa
Hasegaon,Ausa
Hasegaon Wadi,Ausa
Hatkarwadi,Ausa
Hippar Soga,Ausa
Hipparga,Ausa
Holi,Ausa
Jainagar,Ausa
Jamalpur,Ausa
Jauwadi,Ausa
Jawalga P D,Ausa
Jawli,Ausa
Jayphal,Ausa
Kalmata,Ausa
Karajgaon,Ausa
Karla,Ausa
Kawali,Ausa
Kawtha Kej,Ausa
Kawtha Latur,Ausa
Khanapur,Ausa
Kharosa,Ausa
Khuntegaon,Ausa
