Mandal,Village
Shirur-Anantpal,Chamarga
Nilanga,Tagarkheda
Chakur,Zari Bk
Ausa,Matola
Latur,Ekurga
Deoni,Lasona
Ausa,Hatkarwadi
Ausa,Hatkarwadi
Ausa,Hatkarwadi
Chakur,Atola
Udgir,Mallapur
Nilanga,Mane Jawalga
Latur,Khandapur
Ausa,Wanwada
Jalkot,Domgaon
Nilanga,Shend
Ausa,Tambarwadi
Ausa,Tambarwadi
Nilanga,Halsi Tugaon
Deoni,Batanpur
Nilanga,Chichondi
Udgir,Kumtha Kh.
Ausa,Sirsal
Chakur,Wadgaon
Chakur,Wadgaon
Chakur,Wadgaon
Chakur,Bhatsangvi
Nilanga,Yelnur
Deoni,Walandi
Udgir,Boyachiwadi
Udgir,Lohara
Latur,Karsa
Jalkot,Umarga Retu
Udgir,Dewarjan
Nilanga,Halgara
Shirur-Anantpal,Kanegaon
Renapur,Gavhan
Chakur,Ganjurwadi
Udgir,Karadkhed
Ausa,Killari
Chakur,Mahadol
Jalkot,Jalkot
