Mandal,Village
Kuhi,Channa
Kuhi,Tarna
Mauda,Kotgaon
Mauda,Kotgaon
Katol,Khutamba
Hingna,Raipur
Bhiwapur,Sarandi
Mauda,Pawaddauna
Hingna,Ghogali
Hingna,Ghogali
Hingna,Ghogali
Bhiwapur,Zamkoli
Kuhi,Pachkhedi
Bhiwapur,Mahalgaon
Bhiwapur,Mahalgaon
Bhiwapur,Mahalgaon
Mauda,Tarsa
Narkhed,Narsingi
Kuhi,Takli
Kuhi,Takli
Kuhi,Takli
Narkhed,Mahendri
Narkhed,Mahendri
Hingna,Mauda
Kamptee,Bhugaon
Narkhed,Madna
Savner,Kocchi
Bhiwapur,Wakeshwar
Bhiwapur,Wakeshwar
Bhiwapur,Wakeshwar
Narkhed,Ambola
Narkhed,Tinkheda
Kamptee,Asoli.
Kalameshwar,Linga
Kalameshwar,Linga
Kalameshwar,Linga
Bhiwapur,Bhiwapur
Bhiwapur,Bhiwapur
Bhiwapur,Bhiwapur
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Hingna,Sawangi
Katol,Kondhali
Kuhi,Weltur
Katol,Yenwa
Savner,Nanda Gomukh
Mauda,Hingana
Kuhi,Kuhi
Katol,Mohkhedi
Katol,Mohkhedi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Bhiwapur,Parsodi
Kuhi,Rajoli
Kuhi,Rajoli
Hingna,Asola
Kuhi,Jiwanapur
Kuhi,Pohara
Bhiwapur,Mokhebardi
Kuhi,Rajola
Mauda,Rewaral
Katol,Khandala (Kh)
Katol,Khandala (Kh)
Kuhi,Nawargaon
Kuhi,Nawargaon
Kuhi,Nawargaon
Kuhi,Dongarmauda
Narkhed,Jalalkheda
Narkhed,Jalalkheda
Hingna,Mathani
Hingna,Mathani
Kuhi,Sonarwahi
Narkhed,Parsodi [Dixit]
Kalameshwar,Dahegaon
Kalameshwar,Dahegaon
Kalameshwar,Dahegaon
Kalameshwar,Dahegaon
Kalameshwar,Dahegaon
Kuhi,Titur
Parseoni,Parsioni
Bhiwapur,Nagtaroli
Hingna,Kanholibara
Bhiwapur,Nand
Kalameshwar,Sonoli
Kalameshwar,Sonoli
Kalameshwar,Sonoli
Ramtek,Mandri
Umred,Bela
Kamptee,Wadoda
Katol,Mendki
Kalameshwar,Ubali
Mauda,Indora
Mauda,Indora
Kuhi,Gonha
Umred,Pendkapur
Mauda,Chirwha
Kuhi,Lohara
Kuhi,Lohara
Kuhi,Lohara
Kuhi,Lohara
Kalameshwar,Gumthala
Kalameshwar,Gumthala
Kalameshwar,Gumthala
Mauda,Kodamendhi
Kuhi,Dhanla
Kuhi,Dhanla
Narkhed,Jamgaon Bk
Savner,Gadegaon
Parseoni,Salai (Mokasa)
Kuhi,Taroli
Savner,Sherdi
Bhiwapur,Somanala
Bhiwapur,Somanala
Bhiwapur,Kargaon
Kalameshwar,Sahajapur
Kalameshwar,Sahajapur
Kalameshwar,Hardoli
Kalameshwar,Hardoli
Kalameshwar,Hardoli
Kalameshwar,Hardoli
Kalameshwar,Khursapar
Kalameshwar,Khursapar
Kalameshwar,Khursapar
Kalameshwar,Khursapar
Kalameshwar,Khursapar
Kalameshwar,Khursapar
Kuhi,Thana
Kuhi,Thana
Kuhi,Thana
Kamptee,Garla
Savner,Kelwad
Hingna,Umari
Hingna,Umari
Hingna,Umari
Hingna,Umari
Hingna,Umari
Hingna,Umari
Hingna,Umari
Umred,Pandharabodi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Hingna,Chicholi
Umred,Nandra
Umred,Pipra
Ramtek,Borda
Narkhed,Sinjar
Hingna,Sawangi (Devali)
Ramtek,Dongri
Ramtek,Musewadi
Bhiwapur,Sawargaon
Bhiwapur,Sawargaon
Bhiwapur,Sawargaon
Bhiwapur,Sawargaon
Kalameshwar,Khairi (Lakhmaji)
Umred,Thombra
Kalameshwar,Nimji
Mauda,Tuman
Bhiwapur,Hattibodi
Katol,Hatla
Kuhi,Murbi
Narkhed,Ranwadi
Bhiwapur,Panjarepar
Bhiwapur,Panjarepar
Kalameshwar,Sonoli
Kalameshwar,Sonoli
Kalameshwar,Sonoli
