--SELECT--,--SELECT--
--SELECT--,Adoni
Adoni (M + OG) WARD NO.-0036,Adoni
Adoni (M + OG) WARD NO.-0037,Adoni
Adoni (M + OG) WARD NO.-0038,Adoni
Adoni (M + OG) WARD NO.-0039,Adoni
Adoni (M + OG) WARD NO.-0040,Adoni
Adoni (M + OG) WARD NO.-0041,Adoni
Adoni (M + OG) WARD NO.-0042,Adoni
Adoni (M + OG) WARD NO.-0043,Adoni
Adoni (M + OG) WARD NO.-0044,Adoni
Dhanapuram (OG) WARD NO.-0030 (Rural MDDS CODE:594105),Adoni
Gonabavi (OG) WARD NO.-0032 (Rural MDDS CODE:594106),Adoni
Isvi (OG) WARD NO.-0027 (Rural MDDS CODE:594102),Adoni
Mandagiri (OG) WARD NO.-0031 (Rural MDDS CODE:594101),Adoni
V.Kondapuram (OG) WARD NO.-0028 (Rural MDDS CODE:594103),Adoni
--SELECT--,Ardhapur
Ahmadpur (D),Ardhapur
Amarabad Tanda (N.V.),Ardhapur
Ambegaon,Ardhapur
Amrabad,Ardhapur
Amrapur,Ardhapur
Ardhapur,Ardhapur
Babapur,Ardhapur
Bamni,Ardhapur
Barasgaon,Ardhapur
Belsar,Ardhapur
Bhogaon,Ardhapur
Chenapur,Ardhapur
Chinchban,Ardhapur
Dabhad,Ardhapur
Daur,Ardhapur
Degaon (K.),Ardhapur
Degaon Bk.,Ardhapur
Delub (Bk.),Ardhapur
Delub (Kh.),Ardhapur
Dhamdari,Ardhapur
Digras,Ardhapur
Ganpur,Ardhapur
Hamrapur,Ardhapur
Isampur,Ardhapur
Jambharun,Ardhapur
Kaladgaon,Ardhapur
Kamtha (Bk.),Ardhapur
Karwadi,Ardhapur
Khadki,Ardhapur
Khairgaon Bk.,Ardhapur
Khairgaon Kh.,Ardhapur
Kondha,Ardhapur
Lahan,Ardhapur
Latifpur,Ardhapur
Loni Bk.,Ardhapur
Loni Kh.,Ardhapur
Malegaon,Ardhapur
Mendhala (Bk.),Ardhapur
Mendhala (Kd.),Ardhapur
Mugatwadi (D),Ardhapur
Nandla Makta,Ardhapur
Nijampur,Ardhapur
Pangri Tarf Karwadi,Ardhapur
Pardi Makta,Ardhapur
Patnur,Ardhapur
Pimpalgaon (M.),Ardhapur
Rahimpur,Ardhapur
Sangvi (Kd.),Ardhapur
Sawargaon,Ardhapur
Shahapur,Ardhapur
Shelgaon (Bk.),Ardhapur
Shelgaon (Kd).,Ardhapur
Sheni,Ardhapur
Umari,Ardhapur
Wahedpur,Ardhapur
Yelegaon,Ardhapur
--SELECT--,Ardhapur Urban
Ardhapur(M Cl)  - Ward No.1,Ardhapur Urban
Ardhapur(M Cl)  - Ward No.10,Ardhapur Urban
Ardhapur(M Cl)  - Ward No.11,Ardhapur Urban
