Mandal,Village
Biloli,Talni
Biloli,Talni
Biloli,Talni
Hadgaon,Nevri
Kandhar,Phulwal
Dharmabad,Yetala
Naigaon (Khairgaon),Naigaon
Biloli,Lohgaon
Loha,Deulgaon
Ardhapur,Dabhad
Biloli,Sagroli
Himayatnagar,Borgaon (Tamsa)
Hadgaon,Mardga
Deglur,Pendpalli
Dharmabad,Samrala
Dharmabad,Pangri
Dharmabad,Pangri
Dharmabad,Pangri
Dharmabad,Pangri
Loha,Shivani  Jamga
Hadgaon,Chikala
Hadgaon,Chikala
Kinwat,Bodhadi Bk.
Umri,Dhanora Bk.
Loha,Lavhral
Deglur,Chainpur
Mukhed,Kalambar
Hadgaon,Dhotra
Dharmabad,Patoda Kh.
Kinwat,Maregaon
Kandhar,Chincholi P.K.
Himayatnagar,Mangrul
Himayatnagar,Mangrul
Naigaon (Khairgaon),Pimpalgaon (Na)
Biloli,Kolgaon
Biloli,Kolgaon
Biloli,Kolgaon
Naigaon (Khairgaon),Paradwadi
Dharmabad,Naigaon (D)
Dharmabad,Salegaon (D)
Hadgaon,Walki Bk
Nanded,Wahegaon
Deglur,Devapur
Deglur,Devapur
Hadgaon,Pingli
Dharmabad,Balapur
Kandhar,Chikhal Bhosi
Ardhapur,Ardhapur
Umri,Karkala
Biloli,Minki
Biloli,Minki
Kandhar,Masalaga
Kinwat,Mulzara
Kinwat,Mandvi
Umri,Bolsa
Bhokar,Chitagiri
Himayatnagar,Himayatnagar
Deglur,Daregaon
Deglur,Daregaon
Deglur,Daregaon
Deglur,Daregaon
Biloli,Ramtirth
Biloli,Ramtirth
Himayatnagar,Chinchordi
Umri,Hassa
Hadgaon,Rajwadi
Hadgaon,Rajwadi
Loha,Penur
Dharmabad,Karkheli
Mukhed,Wartala
Ardhapur,Yelegaon
Hadgaon,Manula (Bk)
Himayatnagar,Dighi
Loha,Anteshwar
Naigaon (Khairgaon),Khairgaon
Hadgaon,Gorlegaon
Nanded,Limbgaon
Deglur,Khanapur
Mukhed,Dapka Gundopant
Hadgaon,Baradshewala
Ardhapur,Khadki
Ardhapur,Khadki
Ardhapur,Khadki
Ardhapur,Khadki
Deglur,Karadkhed
Biloli,Borgaon Thadi
Hadgaon,Palsa
Ardhapur,Karwadi
Loha,Walkewadi
Loha,Murambi
Ardhapur,Sawargaon
Ardhapur,Sawargaon
Ardhapur,Sawargaon
Ardhapur,Sawargaon
Deglur,Martoli
Mahoor,Anjankhed
Ardhapur,Pardi Makta
Biloli,Bolegaon
Ardhapur,Lahan
Mukhed,Khatgaon P.D.
Kandhar,Telur
Ardhapur,Barasgaon
Naigaon (Khairgaon),Barbada
Loha,Harbal P.U.
Himayatnagar,Borgadi
Loha,Hindola
Himayatnagar,Mahadapur
Himayatnagar,Mahadapur
Nanded,Chikhali Bk.
Mahoor,Chorad
Deglur,Ibrahimpur
Kinwat,Sangvi
Kinwat,Sangvi
Deglur,Kamajiwadi
Hadgaon,Hadgaon
Mudkhed,Patharwadi
Himayatnagar,Karanji
Himayatnagar,Karanji
Kandhar,Panbhoshi
Loha,Sawargaon Nasarat
Kinwat,Karla
Kinwat,Karla
Dharmabad,Chondi
Dharmabad,Chondi
Dharmabad,Chondi
Deglur,Balegaon
Deglur,Balegaon
Deglur,Balegaon
Umri,Abdulapur
Hadgaon,Choramba (Nanded)
Loha,Kalambar Bk.
Dharmabad,Belur Bk.
Kandhar,Barul
Himayatnagar,Shibadara (J)
Mudkhed,Malkautha
Deglur,Shelgaon
Deglur,Shelgaon
Deglur,Shelgaon
Biloli,Kundalwadi
Kandhar,Osmannagar
Deglur,Wazarga
Hadgaon,Dongargaon
Hadgaon,Dongargaon
Hadgaon,Dongargaon
Hadgaon,Dongargaon
Hadgaon,Dongargaon
Mudkhed,Shemboli
Deglur,Bhokaskheda
Loha,Kadamachiwadi
Loha,Bet Sangvi
Deglur,Munjalga
