Mandal,Village
Shahade,Vardhe
Shahade,Kudhavad
Shahade,Fes
Nawapur,Kokniwada
Shahade,Maloni
Nandurbar,Kolde
Nandurbar,Kolde
Nandurbar,Dhanora
Nawapur,Nandvan
Nawapur,Borpada
Nandurbar,Vikharan
Shahade,Vadchhil
Talode,Selingpur
Shahade,Asalod
Shahade,Kahatul
Shahade,Chikhali Bk
Shahade,Raikhed
Nawapur,Palsun
Nandurbar,Korit
Shahade,Pusanad
Nawapur,Khairve
Nawapur,Khairve
Nawapur,Bhamarmal
Nawapur,Chouki
Shahade,Shelti
Shahade,Karjot
Nandurbar,Shrirampur
Shahade,Vaijali
Shahade,Kanadi Kh
Nandurbar,Nalve Bk.
Nandurbar,Khondamali
Shahade,Dongargaon
Nawapur,Karanjvel
Shahade,Dhurkheda
Shahade,Tikhore
Nandurbar,Borale
Nandurbar,Borale
Shahade,Palasvade
Nandurbar,Shinde
Nawapur,Bhardu
Nandurbar,Lonkheda
Nandurbar,Lonkheda
Shahade,Mhasavad
