Mandal,Village
Igatpuri,Avachitwadi (N.V.)
Sinnar,Nimgaon Sinner
Igatpuri,Ahurli
Niphad,Chitegaon
Malegaon,Ronzane
Baglan,Eklahare
Baglan,Eklahare
Baglan,Eklahare
Baglan,Eklahare
Baglan,Eklahare
Igatpuri,Kanadwadi
Sinnar,Pathare Bk.
Kalwan,Kalwan Bk.
Sinnar,Pandhurli
Yevla,Nilkhede
Baglan,Darhane
Niphad,Sundarpur
Niphad,Sundarpur
Yevla,Jalgaon Neur
Nandgaon,Jamdari
Yevla,Nandesar
Niphad,Karanji Kh.
Baglan,Manur
Baglan,Manur
Baglan,Manur
Baglan,Dangsaundane
Kalwan,Gangapur
Kalwan,Gangapur
Deola,Deola
Deola,Deola
Deola,Deola
Niphad,Niphad
Baglan,Bramhangaon
Nandgaon,Nagapur
Nandgaon,Nagapur
Dindori,Dindori
Dindori,Dindori
Sinnar,Chas
Dindori,Nilwandi
Chandvad,Jambutke
Niphad,Vadali Najik
Deola,Vithewadi
Baglan,Arai
Kalwan,Pale Kh.
Kalwan,Bej
Baglan,Khamtane
Kalwan,Bagadu
Surgana,Karanjul Surgana
Malegaon,Nandgaon
Malegaon,Nandgaon
Malegaon,Nandgaon
Malegaon,Nandgaon
Sinnar,Vinchur Dalvi
Malegaon,Chondhi
Malegaon,Chondhi
Kalwan,Barde
Yevla,Lauki Shiras
Niphad,Mhalsakore
Dindori,Sangamner
Sinnar,Deshwandi
Sinnar,Sinnar
Baglan,Akhatwade
Igatpuri,Sanjegaon
Dindori,Nalegaon
Igatpuri,Sakur
Igatpuri,Sakur
Igatpuri,Shirsate
Dindori,Dhaur
Sinnar,Nimgaon Deopur
Igatpuri,Ghoti Kh
Kalwan,Pale Bk.
Igatpuri,Nandgaon Bk
Dindori,Varkhede
Dindori,Deopada
Kalwan,Inshi
Kalwan,Jirwade Otur
Kalwan,Mokbhanagi
Igatpuri,Senvad Bk
Dindori,Nanashi
Malegaon,Vajirkhede
Chandvad,Dugaon
Chandvad,Dugaon
Niphad,Subhash Nagar
Dindori,Materewadi
Chandvad,Mangrul
Kalwan,Shirasamani
Malegaon,Ghanegaon
Kalwan,Abhona
Chandvad,Vadgaon Pangu
Kalwan,Navi Bej
Malegaon,Vadgaon
Malegaon,Vadgaon
Malegaon,Chinchagavhan
Chandvad,Mesankhede Kh
Nashik,Vinchurgavali
Nashik,Nashik
Trimbakeshwar,Kone
Baglan,Kelzar
Kalwan,Desrane
Chandvad,Talwade
Chandvad,Talwade
Chandvad,Talwade
Chandvad,Talwade
Chandvad,Talwade
Kalwan,Karambhel Kanashi
Kalwan,Kanashi
Nandgaon,Jategaon
Nandgaon,Jategaon
Baglan,Tungan Digar
Dindori,Golshi
Igatpuri,Wanjole
Dindori,Kasbe Vani
Baglan,Anandpur
Deola,Kharde (Wakhari)
Kalwan,Sakorepada (N.V.)
Deola,Khamkhede
Baglan,Bhuyane
Igatpuri,Pimpalgaon Mor
Nandgaon,Vanjarwadi
Nandgaon,Vanjarwadi
Igatpuri,Murambi
Igatpuri,Murambi
Nashik,Chandgiri
Dindori,Pimpalgaon Dhum
Igatpuri,Krishnanagar
Igatpuri,Krishnanagar
Baglan,Pingalwade
Kalwan,Kalwan Kh
Igatpuri,Mogare
Chandvad,Nimon
Sinnar,Naigaon
Kalwan,Mohamukh
Nandgaon,Amode
Niphad,Datyane
Dindori,Gondegaon
Dindori,Gondegaon
Dindori,Gondegaon
Baglan,Nitane
Sinnar,Borkhind
Chandvad,Bharvir
Nashik,Talegaon Anjaneri
Kalwan,Jaidar
Dindori,Deothan
Dindori,Deothan
Sinnar,Komalwadi
Sinnar,Bharatpur
Baglan,Aliyabad
Deola,Meshi
Dindori,Khedgaon
Dindori,Khedgaon
Malegaon,Bodhe
Yevla,Adgaon Repal
Dindori,Janori
Dindori,Janori
Baglan,Ambasan
Igatpuri,Pardevi
Baglan,Kandhane
Baglan,Kandhane
Yevla,Adgaon Chothava
Igatpuri,Bortembhe
Malegaon,Malagaon
Malegaon,Dapur
Malegaon,Dapur
Niphad,Bhendali
Malegaon,Astane
Baglan,Manur
Baglan,Manur
Baglan,Manur
Baglan,Askheda
Baglan,Karanjad
Malegaon,Dahiwal
Igatpuri,Balayduri
Baglan,Parner
Baglan,Jaikheda
Chandvad,Vadner Bhairao
Malegaon,Yesgaon Bk
Deola,Lohoner
Dindori,Malegaon
Dindori,Malegaon
Dindori,Malegaon
Dindori,Malegaon
Dindori,Malegaon
Baglan,Joran
Baglan,Joran
Igatpuri,Shenit
Kalwan,Niwane
