Mandal,Village
Lohara,Jewali
Osmanabad,Kond
Osmanabad,Chilvadi
Osmanabad,Keshegaon
Osmanabad,Keshegaon
Bhum,Mankeshwar
Kalamb,Dabha
Paranda,Kandari
Paranda,Bhandgaon
Tuljapur,Kalegaon
Osmanabad,Wadibamani
Bhum,Walwad
Tuljapur,Tuljapur
Paranda,Dhotri
Paranda,Dhotri
Paranda,Wakadi
Osmanabad,Ter
Bhum,Padoli
Bhum,Padoli
Bhum,Padoli
Lohara,Kanegaon
Osmanabad,Khamgaon
Tuljapur,Lohagaon
Kalamb,Gaurgaon
Tuljapur,Jalkot
Tuljapur,Gondhalwadi
Umarga,Manegopal
Bhum,Pandharewadi
Bhum,Pandharewadi
Paranda,Pimparkhed
Osmanabad,Osmanabad
Tuljapur,Wadgaon Kati
Tuljapur,Andur
Paranda,Donja
Paranda,Takali
Umarga,Chincholi Jahagir
Tuljapur,Morda
Osmanabad,Palsap
Tuljapur,Kilaj
Tuljapur,Barul
Umarga,Handral
Osmanabad,Palaswadi
Osmanabad,Jagji
Umarga,Kanthekur
Osmanabad,Dhoki
Tuljapur,Sindfal
Osmanabad,Kini
Bhum,Wangi Bk.
Osmanabad,Mendha
Osmanabad,Irla
Tuljapur,Malumbra
Umarga,Talmod
Tuljapur,Chivari
Kalamb,Kherda
Bhum,Antargaon
Tuljapur,Bijanwadi
Osmanabad,Yeoti
Osmanabad,Bavi(Osmanabad)
Osmanabad,Walgud
Bhum,Pathrud
Paranda,Undegaon
Tuljapur,Deokurli
Bhum,Bagalwadi (N.V.)
Umarga,Belamb
Tuljapur,Sangvi Kati
Kalamb,Hasegaon Kej
Kalamb,Mangrul
Kalamb,Mangrul
Bhum,Patsangvi
Bhum,Nipani
Bhum,Nipani
Tuljapur,Baswantwadi
Paranda,Nalgaon
Paranda,Yenegaon
Paranda,Bhotra
Tuljapur,Kamtha
Lohara,Sastur
Osmanabad,Upla
Umarga,Dalimb
Tuljapur,Wanegaon
Kalamb,Shiradhon
Kalamb,Shiradhon
Umarga,Kader
Tuljapur,Naldurg
Lohara,Achaler
Tuljapur,Apsinga
Tuljapur,Jawalga Mesai
Osmanabad,Takali Bembali
Umarga,Dawal Malikwadi
Kalamb,Itkur
Tuljapur,Kemwadi
