Mandal,Village
Jintur,Chandaj
Jintur,Waghi (Dhanora)
Purna,Aherwadi
Manwath,Pohandul
Manwath,Pohandul
Parbhani,Zari
Parbhani,Zari
Manwath,Kolhawadi
Jintur,Chamani
Purna,Nila
Purna,Nila
Purna,Tadkalas
Pathri,Niwali
Parbhani,Jodparli
Sonpeth,Dudhgaon
Pathri,Kansur
Jintur,Dagadchop
Manwath,Sarangapur
Manwath,Sarangapur
Sailu,Borgaon Jahagir
Sonpeth,Bhisegaon
Palam,Chatori
Jintur,Angalgaon
Jintur,Angalgaon
Jintur,Vadi
Jintur,Vadi
Jintur,Niwali Bk.
Pathri,Hadgaon Bk
Parbhani,Mirzapur
Manwath,Bhosa
Sonpeth,Shelgaon Hatkar
Jintur,Korwadi
Jintur,Digras
Jintur,Digras
Jintur,Digras
Palam,Barbadi
Palam,Barbadi
Sailu,Tidi Pimpalgaon
Manwath,Kothala
Manwath,Kothala
Sailu,Zodgaon
Parbhani,Mandwa
Gangakhed,Anandwadi
Gangakhed,Anandwadi
Gangakhed,Anandwadi
Gangakhed,Anandwadi
Parbhani,Pegargavhan
Jintur,Sawangi Bhamble
Manwath,Mangrul Bk
Parbhani,Umari
Purna,Kawalgaon
Pathri,Pathargavhan Kh
Jintur,Itoli
Gangakhed,Mardasgaon
Gangakhed,Mardasgaon
Manwath,Rudhi
Sailu,Devgaon (Nandgaon)
Purna,Khujada
Manwath,Tad Borgaon
Palam,Dutka
Palam,Dhanewadi
Manwath,Somthana
Parbhani,Tamaswadi
Jintur,Kolapa
Jintur,Wazar Bk
Parbhani,Pingali
Pathri,Rampuri Kh
Palam,Sheikh Rajura
Parbhani,Nandgaon Kh.
Parbhani,Mandakhali
Sailu,Ravalgaon
Parbhani,Ithalapur Deshmukh
Pathri,Pathargavhan Bk
Jintur,Kawi
Parbhani,Takli Bobade
Sailu,Walour
Pathri,Kasapuri
Pathri,Tarugavhan
Gangakhed,Dharasur
Parbhani,Surpimpari
Pathri,Warkheda
Parbhani,Pedgaon
Jintur,Bhogaon
Jintur,Bhogaon
Jintur,Bhogaon
Jintur,Jintur
Jintur,Ambarwadi
Pathri,Pathri
