Mandal,Village
Ambegaon,Pimpalgaon Tarf Mahalunge
Junnar,Golegaon
Junnar,Golegaon
Junnar,Golegaon
Mulshi,Punawale
Junnar,Nagadwadi
Khed,Dhanore
Khed,Dhanore
Khed,Sayagaon
Haveli,Nhavi Sandas
Haveli,Mandvi Bk.
Shirur,Pimpalsuti
Baramati,Mudhale
Ambegaon,Khadaki
Ambegaon,Khadaki
Khed,Chandus
Indapur,Pimpri Kh.
Indapur,Pimpri Kh.
Junnar,Narayangaon
Junnar,Khodad
Junnar,Khodad
Junnar,Jadhav Wadi
Indapur,Gotandi
Bhor,Shindewadi
Bhor,Shindewadi
Bhor,Shindewadi
Bhor,Shindewadi
Bhor,Shindewadi
Bhor,Shindewadi
Baramati,Undavadi Kade Pathar
Ambegaon,Narodi
Ambegaon,Chikhali
Ambegaon,Chikhali
Ambegaon,Chikhali
Indapur,Shelgaon
Indapur,Shelgaon
Haveli,Sashte
Haveli,Kesnand
Indapur,Bawada
Shirur,Uralgaon
Junnar,Pimpalgaon Siddhanath
Indapur,Agoti No.2
Junnar,Pargaon Tarf Madh
Ambegaon,Jadhavwadi (Ranjani) (N.V.)
Khed,Gonavadi
Indapur,Nimgaon Ketki
Ambegaon,Bhawadi
Ambegaon,Bhawadi
Ambegaon,Bhawadi
Daund,Dapodi
Bhor,Nidhan
Indapur,Akole
Indapur,Akole
Shirur,Talegaon Dhamdhere
Junnar,Nimgaon Tarf Mahalunge
Ambegaon,Amondi
Shirur,Pimpale Khalsa
Daund,Hatwalan
Ambegaon,Ranjani
Haveli,Alandi Mhatobachi
Ambegaon,Kalamb
Ambegaon,Kalamb
Daund,Yawat
Mawal,Kothurne
Daund,Rajegaon
Shirur,Jategaon Bk.
Shirur,Darekarwadi
Junnar,Otur
Purandhar,Nazarekade Pathar
Shirur,Karandi
Khed,Kiwale
Daund,Patas
Ambegaon,Pargaon
Ambegaon,Pargaon
Ambegaon,Pargaon
Baramati,Korhale Bk
Daund,Dhumalicha Mala
Khed,Kalus
Indapur,Kurawali
Ambegaon,Peth
Ambegaon,Peth
Bhor,Ambavade
Haveli,Rahatwade
Haveli,Tilekarwadi
Khed,Alandi Rural
Baramati,Katphal
Ambegaon,Pargaon Tarf Awasari Bk.
Bhor,Khanapur
Bhor,Khanapur
Bhor,Khanapur
Khed,Nimgaon
Junnar,Hivare Tarf Narayangaon
Ambegaon,Chincholi
Ambegaon,Chincholi
Ambegaon,Chincholi
Ambegaon,Chincholi
Ambegaon,Chincholi
Mulshi,Marunji
Daund,Undawadi
Shirur,Alegaon Paga
Velhe,Velhe Bk.
Ambegaon,Sultanpur
Ambegaon,Sultanpur
Daund,Rahu
Shirur,Babhulsar Kh.
Purandhar,Mandaki
Daund,Malthan
Daund,Malthan
Ambegaon,Mahalunge Padawal
Daund,Gar
Daund,Deulgaon Raje
Shirur,Shindodi
Indapur,Sarafwadi
Junnar,Ballalwadi
Baramati,Khandobachiwadi
Junnar,Kusur
Junnar,Kusur
Haveli,Perane
Shirur,Ravadewadi
Junnar,Padali
Junnar,Padali
Shirur,Tandali
Daund,Kalewadi (nv)
Ambegaon,Chas
Ambegaon,Chas
Indapur,Anthurne
Indapur,Kumbhargaon
Baramati,Parwadi
Baramati,Parwadi
Bhor,Bhongvali
Mawal,Dhalewadi
Mawal,Dhalewadi
Shirur,Nirvi
Indapur,Boratwadi
Haveli,Wade Bolhai
Indapur,Taratgaon
Purandhar,Sonori
Ambegaon,Kanase
Bhor,Sangamner
Indapur,Shetphal Haveli
Shirur,Kawathe
Indapur,Padasthal
Ambegaon,Jarkarwadi
Daund,Padvi
Junnar,Nimdari
Indapur,Awasari
