Mandal,Village
Koregaon,Velu
Khatav,Mayani
Karad,Helgaon
Khandala,Mhavashi
Khandala,Mhavashi
Koregaon,Kathapur
Khatav,Aundh
Man,Lodhavade
Phaltan,Adarki Kh.
Phaltan,Salpe
Khatav,Revalkarwadi
Phaltan,Adarki Bk.
Satara,Apashinge
Karad,Gharewadi
Koregaon,Kiroli
Khatav,Dharpudi
Wai,Dhom
Khatav,Katarkhatav
Phaltan,Mirewadi
Phaltan,Mirewadi
Khatav,Ner
Phaltan,Kapadgaon
Khatav,Bhosare
Karad,Vadoli Nileshwar
Karad,Khodshi
Wai,Satalewadi (N.V.)
Karad,Vanvasmachi
Wai,Wai (Rural)
Khandala,Lohom
Koregaon,Wagholi
Koregaon,Godsewadi
Satara,Vaduth
Khatav,Vaduj
Khatav,Pangarkhel
Karad,Kalvade
Khatav,Goregaon  (N) (Vangi)
Man,Wawarhire
Patan,Banpethwadi
Karad,Koparde Haveli
Phaltan,Vidani
Khandala,Bavda
Satara,Vechale
Karad,Kasarshirambe
Satara,Shendre
Satara,Gove
Satara,Gove
Khandala,Asawali
Wai,Asale
Karad,Talbid
Phaltan,Somanthali
Khatav,Mhasurne
Wai,Kadegaon
Karad,Jakhinwadi
Karad,Koregaon
Karad,Koregaon
Phaltan,Veloshi
Phaltan,Saskal
Khatav,Naikachiwadi
Phaltan,Khamgaon
Man,Dhuldev
Man,Dhuldev
Karad,Tambave
Karad,Tambave
Phaltan,Miryachiwadi
Phaltan,Hol
Karad,Undale
Koregaon,Chanchali
Phaltan,Barad
Khatav,Vardhangad
Satara,Nele
Karad,Mhasoli
Khandala,Pargaon
Khandala,Pargaon
Karad,Shitalwadi
Karad,Pal
Koregaon,Nalavadewadi
Koregaon,Nalavadewadi
Phaltan,Munjwadi
Jaoli,Bahule
Jaoli,Bahule
Karad,Tembhu
Satara,Zarewadi
Khatav,Diskal
Khatav,Rahatani
Koregaon,Shendurjane
Koregaon,Shendurjane
Phaltan,Taradgaon
Karad,Atake
Khatav,Kumathe
Khatav,Kumathe
Khatav,Kumathe
Karad,Pimpari
Karad,Pimpari
Karad,Pimpari
Khatav,Chitali
Koregaon,Bhose
Koregaon,Bhose
Wai,Kanur
Man,Kukudwad
Jaoli,Valuth
Khatav,Gursale
Khatav,Nimsod
Koregaon,Rautwadi
Koregaon,Rautwadi
Patan,Vajegaon
Patan,Vajegaon
Khatav,Tadavale
Khatav,Tadavale
Khatav,Kuroli
Phaltan,Alagudewadi
Karad,Kirpe
Khandala,Javale
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Jaoli,Pawarwadi
Phaltan,Takalwade
Phaltan,Malewadi
Phaltan,Tathavada
Khatav,Anpatwadi
Khatav,Anpatwadi
