Mandal,Village
Malshiras,Bondale
Akkalkot,Hanjagi
Malshiras,Piliv
Malshiras,Pisewadi
Madha,Bhend
Solapur South,Nimbargi
Sangole,Laxminagar  (D.Wadi)
Akkalkot,Jeur
Akkalkot,Jeur
Karmala,Dahigaon
Karmala,Dahigaon
Pandharpur,Ropale
Mohol,Papari
Madha,Ropale Kh.
Solapur North,Mardi
Mohol,Penur
Karmala,Kondhej
Pandharpur,Sarkoli
Akkalkot,Devikavathe
Akkalkot,Ankalage
Malshiras,Sulewadi
Pandharpur,Khardi
Pandharpur,Sonke
Madha,Shiral Tembhurni
Mangalvedhe,Maroli
Madha,Shedshinge
Akkalkot,Mundhewadi
Akkalkot,Mundhewadi
Akkalkot,Mundhewadi
Akkalkot,Mundhewadi
Malshiras,Kurbavi
Pandharpur,Tavashi
Pandharpur,Badalkot
Pandharpur,Bhatumbare
Pandharpur,Narayan Chincholi
Malshiras,Pirale
Barshi,Pangri
Sangole,Wadegaon
Madha,Khairao
Pandharpur,Umbare
Solapur North,Darfal (Bibi)
Akkalkot,Udagi
Malshiras,Mahalung
Solapur South,Madre
Akkalkot,Kalkarjal
Solapur North,Khed
Karmala,Nimgaon (H)
Mohol,Sayyadwarwade
Mangalvedhe,Shirnadgi
Madha,Laul
Madha,Akole Kh
Madha,Ranzani
Madha,Ranzani
Malshiras,Bhamburdi
Madha,Shindewadi
Madha,Shindewadi
Mangalvedhe,Katral
Solapur North,Honsal
Solapur South,Honmurgi
Akkalkot,Alage
Mohol,Patkul
Solapur South,Akole Mandrup
Karmala,Pangare
Madha,Upalai Bk.
Madha,Alegaon Kh
Madha,Ujani Madha
Karmala,Sade
Malshiras,Lawang
Madha,Lahu
Akkalkot,Nimgaon
Akkalkot,Nimgaon
Madha,Takali Tembhurni
Mangalvedhe,Lavangi
Mangalvedhe,Lavangi
Madha,Akulgaon
Mangalvedhe,Mudhavi
Barshi,Mandegaon
Akkalkot,Mhaisalage
Karmala,Kondhar Chincholi
Malshiras,Kolegaon
Malshiras,Kolegaon
Barshi,Bavi
Barshi,Bavi
Malshiras,Umbare Dahigaon
Pandharpur,Karkamb
Pandharpur,Chincholi Bhose
Barshi,Ghanegaon
Madha,Pimpalkhunte
Mohol,Ekurke
Sangole,Shirbavi
Pandharpur,Nandore
Akkalkot,Talewad
Sangole,Sangewadi
Karmala,Kandar
Akkalkot,Borgaon
Akkalkot,Borgaon
Akkalkot,Borgaon
Karmala,Sounde
Mohol,Dadapur
Madha,Mitkalwadi
Madha,Modnimb
Madha,Chinchgaon
Madha,Hole Kh.
Karmala,Jategaon
Karmala,Mangi
Akkalkot,Kurnur
Solapur North,Darphal (Gawadi)
Sangole,Waki Shivane
Madha,Chandaj
Madha,Barloni
Mohol,Sawaleshwar
Solapur North,Narotewadi
Pandharpur,Shelve
Akkalkot,Gholasgaon
Sangole,Save
Mangalvedhe,Mangalvedha
Akkalkot,Maindargi (Rural)
Pandharpur,Suste
Madha,Parite
Karmala,Hivare
Karmala,Hivare
Mangalvedhe,Bhalwani
Sangole,Khilarwadi
Mohol,Konheri
Pandharpur,Palshi
Mohol,Jamgaon Bk
Akkalkot,Hingani
Akkalkot,Hingani
Karmala,Chikhalthan
Madha,Londhewadi
Mohol,Wirawade Bk
Solapur North,Kalman
Mangalvedhe,Degaon
Mangalvedhe,Degaon
Mangalvedhe,Degaon
Madha,Upalai Kh.
Barshi,Bhatambare
Pandharpur,Pulujwadi
Barshi,Korfale
Mangalvedhe,Akole
Karmala,Delwadi
Barshi,Ghanegaon
Barshi,Upalai (Thonge)
Barshi,Jawalgaon
Karmala,Goyegaon
Solapur South,Sangdari
Barshi,Babhulgaon
Barshi,Babhulgaon
Barshi,Babhulgaon
Pandharpur,Tisangi
Sangole,Shivane
Karmala,Sogaon
Malshiras,Dharmpuri
Pandharpur,Magarwadi
Barshi,Chare
Malshiras,Wagholi
Malshiras,Wagholi
Karmala,Umrad
Mohol,Yeoti
Madha,Tembhurni
Pandharpur,Khed Bhalawani
Mangalvedhe,Nandur
Mangalvedhe,Nandur
Malshiras,Yashawantnagar
Pandharpur,Dhondewadi
Malshiras,Velapur
