Mandal,Village
Samudrapur,Waigaon
Samudrapur,Waigaon
Samudrapur,Waigaon
Deoli,Nagzari
Hinganghat,Yerangaon
Arvi,Taroda
Arvi,Taroda
Arvi,Taroda
Arvi,Taroda
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Arvi,Chincholi
Seloo,Rehaki (Kala)
Hinganghat,Ladki
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Arvi,Pimpalgaon
Deoli,Belgaon
Deoli,Belgaon
Deoli,Belgaon
Deoli,Belgaon
Deoli,Nachangaon
Deoli,Pipri
Deoli,Pipri
Deoli,Pipri
Wardha,Ekurli
Arvi,Wardha
Hinganghat,Sawli (Wagh)
Hinganghat,Kanchangaon
Arvi,Takarkheda
Wardha,Waifad
Seloo,Dhanoli (Gawande)
Samudrapur,Girad
Hinganghat,Arvi
Hinganghat,Arvi
Arvi,Hiwara
Arvi,Hiwara
Arvi,Hiwara
Arvi,Hiwara
Arvi,Hiwara
Arvi,Hiwara
Arvi,Rasulabad
Arvi,Sarkaspur
Samudrapur,Arambha
Ashti,Ashti
Ashti,Ashti
Arvi,Khubgaon
Seloo,Seloo
Arvi,Takli
Arvi,Takli
Arvi,Deurwada
Arvi,Jalgaon
Wardha,Pavnar
Samudrapur,Talodi
Samudrapur,Talodi
Ashti,Isapur
Ashti,Isapur
Ashti,Isapur
Arvi,Khapri
Arvi,Khapri
Arvi,Khapri
Arvi,Khapri
Arvi,Khapri
Arvi,Khapri
Arvi,Khapri
Hinganghat,Fukta
Arvi,Nijampur
Seloo,Seldoh
Ashti,Junona
Ashti,Junona
Ashti,Junona
Ashti,Junona
Deoli,Bhidi
Samudrapur,Parda
Arvi,Allipur
Arvi,Allipur
Arvi,Allipur
Seloo,Ghorad
