Mandal,Village
Mangrulpir,Mangrulpir
Mangrulpir,Pedgaon
Mangrulpir,Pedgaon
Washim,Warla
Risod,Chichamba Pen
Risod,Ekalaspur
Karanja,Zodaga
Mangrulpir,Mohari
Washim,Pangarkhed
Karanja,Sukali
Karanja,Sukali
Karanja,Sukali
Manora,Palodi
Risod,Asegaon Pen
Manora,Waroli
Mangrulpir,Arak
Mangrulpir,Kothari
Mangrulpir,Pedgaon
Mangrulpir,Pedgaon
Risod,Netanasa
Mangrulpir,Wanoja
Mangrulpir,Wanoja
Mangrulpir,Warud Kh.
Karanja,Kajaleshwar
Malegaon,Mungala
Mangrulpir,Pimpalkhuta
Karanja,Kakadshivni
Malegaon,Kotha
Risod,Haral
Manora,Jotibanagar
Risod,Shelgaon Rajgure
Manora,Sakhardoh
Karanja,Somthana
Karanja,Somthana
Karanja,Somthana
Risod,Nandhana
Karanja,Meha
Karanja,Yevta
Karanja,Yevta
Karanja,Mandwa
Karanja,Mandwa
Mangrulpir,Yedshi
