District,Village Name
Ahmednagar,Belapur Bk. 
Ahmednagar,Gidegaon 
Ahmednagar,Vashere 
Ahmednagar,Shrigonda (borudewadi) 
Ahmednagar,Hanmantgaon 
Ahmednagar,Sultanpur Bk 
Ahmednagar,Dedgaon 
Ahmednagar,Lingdev 
Ahmednagar,Baragaon Nandur 
Ahmednagar,Pimplas 
Ahmednagar,Walunj 
Ahmednagar,Veergaon 
Ahmednagar,Desvade 
Ahmednagar,Shrigonda ssk 
Ahmednagar,Shirasgaon 
Ahmednagar,Sakat Kh 
Ahmednagar,Punatgaon 
Ahmednagar,Malunja Bk 
Ahmednagar,Belpimpalgaon 
Ahmednagar,Awhane Bk. 
Ahmednagar,Kauthe Bk. 
Ahmednagar,Dadegaon 
Ahmednagar,Erandoli 
Ahmednagar,Sonvihir 
Ahmednagar,Belwandi Bk. 
Ahmednagar,Sonai 
Ahmednagar,Shrigonda 
Ahmednagar,Kolhar Bk. 
Ahmednagar,Shiur 
Ahmednagar,Chapadgaon 
Ahmednagar,Bhende Bk. 
Ahmednagar,Waghapur 
Ahmednagar,Pimpalgaon Pisa 
Ahmednagar,Belwandi 
Ahmednagar,Nandur Khandarmal 
Ahmednagar,Bhavinimgaon 
Ahmednagar,Kendal Bk. 
Ahmednagar,Deotakli 
Ahmednagar,Sangamner Kh. 
Ahmednagar,Karajgaon 
Ahmednagar,Pachegaon 
Ahmednagar,Nimgaon daku 
Ahmednagar,Kumbhefal 
Ahmednagar,Kotul 
Ahmednagar,Kambi 
Ahmednagar,Wadala Mahadeo 
Ahmednagar,Pemgiri 
Ahmednagar,Bhalwani BO 
Ahmednagar,Samsherpur 
Ahmednagar,Ralegaon Tharepal 
Ahmednagar,Nandgaon 
Ahmednagar,Bahirwadi 
Ahmednagar,Erandgaon 
Ahmednagar,Bhanashiware 
Ahmednagar,Malewadi 
Ahmednagar,Georai 
Ahmednagar,Chinchban 
Ahmednagar,Malthan 
Ahmednagar,Ramdoh 
Ahmednagar,Waysewadi 
Ahmednagar,Jorve 
Ahmednagar,Balam  Takali 
Ahmednagar,Undirgaon 
Ahmednagar,Jawala B.O 
Ahmednagar,Loni Vyanknath 
Ahmednagar,Ukkadgaon 
Ahmednagar,Sangvi 
Ahmednagar,Dhamangaon Pat 
Ahmednagar,Chas 
Ahmednagar,Bhambore 
Ahmednagar,Dhandarphal Kh 
Ahmednagar,Khupti 
Ahmednagar,Ghodegaon 
Ahmednagar,Ruikhed 
Ahmednagar,Autewadi 
Ahmednagar,Kuldharan 
Ahmednagar,Ranjangaon 
Ahmednagar,Nimgaon Kh. 
Ahmednagar,Rawande 
Ahmednagar,Mandegavhan 
Ahmednagar,Hivargaon 
Ahmednagar,Khampimpri 
Ahmednagar,Nanduri Dumala 
Ahmednagar,Gargundi 
Ahmednagar,Deogaon 
Ahmednagar,Rashin 
Ahmednagar,Pangari 
Ahmednagar,Deolali -pravara 
Ahmednagar,Dadh Bk. 
Ahmednagar,Salwadgaon 
Ahmednagar,Mahadeowadi (N.V.) 
Ahmednagar,Matapur 
Ahmednagar,Miri 
Ahmednagar,Bhatkudgaon 
Ahmednagar,Chikhalthan 
Ahmednagar,Padhegaon 
Ahmednagar,Kanoli 
Ahmednagar,Ahmednagar 
Ahmednagar,Kolgaon 
Ahmednagar,Umbargaon 
Ahmednagar,Madhi Bk 
Ahmednagar,Vambori 
Ahmednagar,Madhewadgaon 
Ahmednagar,Ambhol 
Ahmednagar,Zole 
Ahmednagar,Aurangpur 
Ahmednagar,Renwadi 
Ahmednagar,Umbargaon Bhosalewadi 
Ahmednagar,Kolhar Kh 
Ahmednagar,Dhamori 
Ahmednagar,Pravara Sangam 
Ahmednagar,Kothul 
Ahmednagar,Sugaon Kh. 
Ahmednagar,Khamgaon 
Ahmednagar,Maladad 
Ahmednagar,Deswandi 
Ahmednagar,Rastapur 
Ahmednagar,Takalibhan 
Ahmednagar,Rajapur 
Ahmednagar,Mandave Bk. 
Ahmednagar,Umbre 
Ahmednagar,Pimpri Kolandar 
Ahmednagar,Kharpadi 
Ahmednagar,Kokanewadi 
Ahmednagar,Kukana 
Ahmednagar,Khanapur 
Ahmednagar,Imampur 
Ahmednagar,Dahifal 
Ahmednagar,Bodkhe 
Ahmednagar,Shenwadgaon 
Ahmednagar,Karjat Kh. 
Ahmednagar,Vadgaon 
Ahmednagar,Bholewadi 
